            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************
$$SOE
2415295.500000000, A.D. 1900-Oct-03 00:00:00.0000,  5.774571996345167E+08, -5.602698998602562E+08, -1.219255062716643E+08,  3.141726266266966E-02,  8.137720855244184E+08,  1.281884036656521E+04,
2415305.500000000, A.D. 1900-Oct-13 00:00:00.0000,  5.850837743715415E+08, -5.531307906563847E+08, -1.189673448690480E+08,  3.142212311019455E-02,  8.138979811685228E+08,  1.235992695102789E+04,
2415315.500000000, A.D. 1900-Oct-23 00:00:00.0000,  5.926029558399011E+08, -5.458901495832324E+08, -1.159873466641224E+08,  3.142680597155369E-02,  8.140192769636202E+08,  1.189888359913979E+04,
2415325.500000000, A.D. 1900-Nov-02 00:00:00.0000,  6.000134117164261E+08, -5.385493501372716E+08, -1.129860680309586E+08,  3.143131043955827E-02,  8.141359520018505E+08,  1.143578866055373E+04,
2415335.500000000, A.D. 1900-Nov-12 00:00:00.0000,  6.073138289378554E+08, -5.311097813138779E+08, -1.099640684025636E+08,  3.143563573732320E-02,  8.142479861602837E+08,  1.097072076349357E+04,
2415345.500000000, A.D. 1900-Nov-22 00:00:00.0000,  6.145029138417200E+08, -5.235728473956925E+08, -1.069219101914346E+08,  3.143978111835926E-02,  8.143553601033044E+08,  1.050375872364520E+04,
2415355.500000000, A.D. 1900-Dec-02 00:00:00.0000,  6.215793923046819E+08, -5.159399677403682E+08, -1.038601587101142E+08,  3.144374586662863E-02,  8.144580552840520E+08,  1.003498147936886E+04,
2415365.500000000, A.D. 1900-Dec-12 00:00:00.0000,  6.285420098793058E+08, -5.082125765681406E+08, -1.007793820918913E+08,  3.144752929660326E-02,  8.145560539459325E+08,  9.564468150750445E+03,
2415375.500000000, A.D. 1900-Dec-22 00:00:00.0000,  6.353895319287882E+08, -5.003921227498369E+08, -9.768015121163487E+07,  3.145113075332606E-02,  8.146493391242026E+08,  9.092297961404291E+03,
2415385.500000000, A.D. 1901-Jan-01 00:00:00.0000,  6.421207437589012E+08, -4.924800695942380E+08, -9.456303960659295E+07,  3.145454961242325E-02,  8.147378946462893E+08,  8.618550108196276E+03,
2415395.500000000, A.D. 1901-Jan-11 00:00:00.0000,  6.487344507479315E+08, -4.844778946345137E+08, -9.142862339723414E+07,  3.145778528008407E-02,  8.148217051312665E+08,  8.143303723118797E+03,
2415405.500000000, A.D. 1901-Jan-21 00:00:00.0000,  6.552294784752498E+08, -4.763870894141273E+08, -8.827748120823765E+07,  3.146083719303826E-02,  8.149007559892690E+08,  7.666637893468874E+03,
2415415.500000000, A.D. 1901-Jan-31 00:00:00.0000,  6.616046728488153E+08, -4.682091592725417E+08, -8.511019408968300E+07,  3.146370481854911E-02,  8.149750334213139E+08,  7.188631719986156E+03,
2415425.500000000, A.D. 1901-Feb-10 00:00:00.0000,  6.678589002316833E+08, -4.599456231310157E+08, -8.192734543846202E+07,  3.146638765443147E-02,  8.150445244197674E+08,  6.709364379206753E+03,
2415435.500000000, A.D. 1901-Feb-20 00:00:00.0000,  6.739910475672888E+08, -4.515980132784806E+08, -7.872952091988310E+07,  3.146888522908711E-02,  8.151092167692599E+08,  6.228915152769657E+03,
2415445.500000000, A.D. 1901-Mar-02 00:00:00.0000,  6.800000225037621E+08, -4.431678751573004E+08, -7.551730838944343E+07,  3.147119710156044E-02,  8.151690990481298E+08,  5.747363533290236E+03,
2415455.500000000, A.D. 1901-Mar-12 00:00:00.0000,  6.858847535179538E+08, -4.346567671499373E+08, -7.229129781479749E+07,  3.147332286165810E-02,  8.152241606315202E+08,  5.264789402520154E+03,
2415465.500000000, A.D. 1901-Mar-22 00:00:00.0000,  6.916441900375921E+08, -4.260662603671553E+08, -6.905208119775149E+07,  3.147526213009103E-02,  8.152743916950601E+08,  4.781272936452809E+03,
