"spkid","full_name","diameter","extent","rot_per","orbit_id","epoch","e","a","q","i","w","ad","per","per_y","sigma_e","sigma_a","sigma_q","sigma_i","sigma_per","first_obs","last_obs"
54206598,"       (2010 VM271)",,,,"JPL 4",2459600.5,0.0383,5.082,4.887,11.51,348.66,5.28,4.18e+03,11.5,1.7e-07,3.6e-07,1.1e-06,1.3e-05,4.4e-04,2010-11-02,2021-11-20
54206599,"       (2010 VN271)",,,,"JPL 6",2459600.5,0.1211,5.178,4.551,17.36,25.10,5.80,4.3e+03,11.8,2.8e-07,2.5e-07,1.5e-06,3.3e-05,3.1e-04,2009-09-28,2021-11-27
54207157,"       (2010 VO271)",,,,"JPL 3",2459600.5,0.1225,5.169,4.536,7.20,305.98,5.80,4.29e+03,11.8,4.7e-05,8.1e-06,2.4e-04,5.2e-05,1.0e-02,2010-11-08,2021-11-06
54210336,"       (2010 VE272)",,,,"JPL 3",2459600.5,0.0955,5.186,4.691,9.30,150.16,5.68,4.31e+03,11.8,2.1e-07,4.2e-07,1.4e-06,1.2e-05,5.3e-04,2010-11-13,2021-10-14
54212770,"       (2010 VW272)",,,,"JPL 2",2459600.5,0.0654,5.233,4.891,9.44,209.53,5.57,4.37e+03,12,1.6e-07,4.2e-07,1.1e-06,1.3e-05,5.2e-04,2010-11-01,2021-10-26
54212771,"       (2010 VX272)",,,,"JPL 1",2459600.5,0.0819,5.171,4.747,8.16,33.91,5.59,4.29e+03,11.8,3.1e-07,6.2e-07,1.4e-06,2.1e-05,7.7e-04,2009-09-27,2021-11-01
54214121,"       (2010 VS273)",,,,"JPL 1",2459600.5,0.0650,5.257,4.915,22.34,7.50,5.60,4.4e+03,12.1,5.4e-07,8.7e-07,3.6e-06,1.9e-05,1.1e-03,2010-11-11,2021-11-09
54214123,"       (2010 VT273)",,,,"JPL 2",2459600.5,0.0840,5.225,4.786,11.79,60.90,5.66,4.36e+03,11.9,1.2e-07,4.8e-07,9.8e-07,1.9e-05,6.0e-04,2010-11-07,2021-11-09
54214124,"       (2010 VU273)",,,,"JPL 2",2459600.5,0.1021,5.203,4.671,10.58,266.60,5.73,4.33e+03,11.9,5.5e-07,3.3e-07,3.1e-06,1.4e-05,4.2e-04,2009-09-28,2021-11-28
54214125,"       (2010 VV273)",,,,"JPL 2",2459600.5,0.0802,5.302,4.877,21.50,187.91,5.73,4.46e+03,12.2,1.3e-05,8.0e-06,7.7e-05,1.8e-05,1.0e-02,2010-11-12,2021-11-27
54214126,"       (2010 VW273)",,,,"JPL 2",2459600.5,0.0712,5.117,4.753,8.45,329.66,5.48,4.23e+03,11.6,8.9e-05,9.5e-06,4.5e-04,3.5e-05,1.2e-02,2010-11-08,2021-11-26
54214785,"       (2010 VC274)",,,,"JPL 4",2459600.5,0.0736,5.137,4.759,15.34,298.64,5.51,4.25e+03,11.6,2.1e-07,4.0e-07,1.3e-06,9.2e-06,4.9e-04,2010-11-12,2021-11-27
54215247,"       (2010 VJ274)",,,,"JPL 2",2459600.5,0.0601,5.185,4.874,12.93,220.26,5.50,4.31e+03,11.8,2.0e-07,3.4e-07,1.3e-06,1.6e-05,4.3e-04,2009-10-15,2021-10-31
54215248,"       (2010 VK274)",,,,"JPL 3",2459600.5,0.0551,5.279,4.988,6.18,119.71,5.57,4.43e+03,12.1,1.3e-07,3.2e-07,8.0e-07,1.1e-05,4.0e-04,2008-09-29,2021-11-08
54216502,"       (2010 VR274)",,,,"JPL 2",2459600.5,0.1127,5.136,4.557,13.26,67.13,5.71,4.25e+03,11.6,1.8e-07,3.7e-07,1.2e-06,2.2e-05,4.6e-04,2010-11-02,2021-11-09
54216503,"       (2010 VS274)",,,,"JPL 2",2459600.5,0.0734,5.282,4.895,22.21,348.67,5.67,4.43e+03,12.1,7.2e-07,8.7e-07,4.6e-06,2.1e-05,1.1e-03,2010-11-14,2021-11-19
54218676,"       (2010 VZ274)",,,,"JPL 1",2459600.5,0.1866,5.168,4.204,4.83,268.56,6.13,4.29e+03,11.7,8.5e-07,5.4e-07,4.8e-06,2.0e-05,6.7e-04,2003-04-01,2021-11-07
54219320,"       (2010 VF275)",,,,"JPL 2",2459600.5,0.0597,5.2,4.889,12.68,312.58,5.51,4.33e+03,11.9,1.6e-07,4.2e-07,6.5e-07,1.3e-05,5.2e-04,2008-10-09,2021-11-12
54219322,"       (2010 VH275)",,,,"JPL 2",2459600.5,0.0610,5.117,4.804,8.42,320.71,5.43,4.23e+03,11.6,1.7e-07,3.9e-07,1.0e-06,1.4e-05,4.8e-04,2010-11-12,2021-11-27
54225065,"       (2010 VC276)",,,,"JPL 2",2459600.5,0.1203,5.227,4.598,22.80,335.37,5.86,4.36e+03,11.9,7.3e-06,6.8e-06,4.2e-05,6.7e-05,8.5e-03,2010-11-08,2021-11-26
54226480,"       (2010 VP276)",,,,"JPL 1",2459600.5,0.1323,5.136,4.456,5.41,299.58,5.82,4.25e+03,11.6,3.1e-07,2.8e-07,1.8e-06,1.1e-05,3.5e-04,2009-10-24,2021-12-02
54232815,"       (2010 VO277)",,,,"JPL 1",2459600.5,0.0669,5.202,4.854,14.05,40.79,5.55,4.33e+03,11.9,1.3e-07,4.7e-07,1.0e-06,1.3e-05,5.9e-04,2010-11-08,2021-11-25
54253680,"       (2010 VQ278)",,,,"JPL 1",2459600.5,0.0480,5.155,4.907,20.44,40.08,5.40,4.27e+03,11.7,5.0e-05,4.9e-06,2.6e-04,1.2e-04,6.1e-03,2010-11-06,2021-11-25
54259342,"       (2010 VX278)",,,,"JPL 1",2459600.5,0.0729,5.214,4.834,4.38,279.75,5.59,4.35e+03,11.9,1.6e-07,4.8e-07,1.2e-06,2.3e-05,6.0e-04,2010-11-03,2021-11-06
