            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2308207.500000000, A.D. 1607-Jul-23 00:00:00.0000,  5.688932327259946E+08,  2.854868896424981E+08,  4.059110481992760E+08,
2308267.500000000, A.D. 1607-Sep-21 00:00:00.0000,  5.215056109580974E+08,  3.318320666558104E+08,  4.289258276400487E+08,
2308327.500000000, A.D. 1607-Nov-20 00:00:00.0000,  4.697616092496032E+08,  3.753990226512424E+08,  4.483463017993038E+08,
2308387.500000000, A.D. 1608-Jan-19 00:00:00.0000,  4.140583217102822E+08,  4.157950928496232E+08,  4.639759629740150E+08,
2308447.500000000, A.D. 1608-Mar-19 00:00:00.0000,  3.548380645527960E+08,  4.526515203809391E+08,  4.756516403249704E+08,
2308507.500000000, A.D. 1608-May-18 00:00:00.0000,  2.925842812795533E+08,  4.856287321552166E+08,  4.832465073048620E+08,
2308567.500000000, A.D. 1608-Jul-17 00:00:00.0000,  2.278165385896105E+08,  5.144213492531306E+08,  4.866726006947767E+08,
2308627.500000000, A.D. 1608-Sep-15 00:00:00.0000,  1.610846892976717E+08,  5.387627738850141E+08,  4.858827415467674E+08,
2308687.500000000, A.D. 1608-Nov-14 00:00:00.0000,  9.296231716768444E+07,  5.584292140118786E+08,  4.808717815930566E+08,
2308747.500000000, A.D. 1609-Jan-13 00:00:00.0000,  2.403960807198193E+07,  5.732430161880440E+08,  4.716771147356902E+08,
2308807.500000000, A.D. 1609-Mar-14 00:00:00.0000, -4.508416787000595E+07,  5.830752105384330E+08,  4.583784375109581E+08,
2308867.500000000, A.D. 1609-May-13 00:00:00.0000, -1.138083660385142E+08,  5.878471775756425E+08,  4.410967373825832E+08,
2308927.500000000, A.D. 1609-Jul-12 00:00:00.0000, -1.815386749586267E+08,  5.875314004625536E+08,  4.199925449953132E+08,
2308987.500000000, A.D. 1609-Sep-10 00:00:00.0000, -2.476946128769183E+08,  5.821512944726702E+08,  3.952635063229135E+08,
2309047.500000000, A.D. 1609-Nov-09 00:00:00.0000, -3.117166208422415E+08,  5.717801405263019E+08,  3.671413522680731E+08,
2309107.500000000, A.D. 1610-Jan-08 00:00:00.0000, -3.730725855979042E+08,  5.565391721811130E+08,  3.358883560566707E+08,
2309167.500000000, A.D. 1610-Mar-09 00:00:00.0000, -4.312636578377963E+08,  5.365949142343001E+08,  3.017934005406975E+08,
2309227.500000000, A.D. 1610-May-08 00:00:00.0000, -4.858292517680525E+08,  5.121558818537476E+08,  2.651677719387743E+08,
2309287.500000000, A.D. 1610-Jul-07 00:00:00.0000, -5.363511513828948E+08,  4.834687594865526E+08,  2.263407959170834E+08,
2309347.500000000, A.D. 1610-Sep-05 00:00:00.0000, -5.824567011660235E+08,  4.508141914311875E+08,  1.856554344690588E+08,
2309407.500000000, A.D. 1610-Nov-04 00:00:00.0000, -6.238210808864974E+08,  4.145023333301174E+08,  1.434639580968909E+08,
2309467.500000000, A.D. 1611-Jan-03 00:00:00.0000, -6.601686899027964E+08,  3.748682795782604E+08,  1.001237811390841E+08,
2309527.500000000, A.D. 1611-Mar-04 00:00:00.0000, -6.912737103690972E+08,  3.322674891594249E+08,  5.599354259919406E+07,
2309587.500000000, A.D. 1611-May-03 00:00:00.0000, -7.169599364910330E+08,  2.870713110213741E+08,  1.142949257840930E+07,
2309647.500000000, A.D. 1611-Jul-02 00:00:00.0000, -7.370999621409720E+08,  2.396627028150289E+08, -3.321777007205041E+07,
2309707.500000000, A.D. 1611-Aug-31 00:00:00.0000, -7.516138224248723E+08,  1.904321884156277E+08, -7.760618935102886E+07,
2309767.500000000, A.D. 1611-Oct-30 00:00:00.0000, -7.604672126684740E+08,  1.397741137114245E+08, -1.214047650994625E+08,
