            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
2452766.500000000, A.D. 2003-May-07 00:00:00.0000, -4.865698475086434E+08, -5.670310942504562E+08, -2.792465430859728E+08,  3.079502164940362E-02,  7.976547562554368E+08,  3.085808663335157E+04,
2452776.500000000, A.D. 2003-May-17 00:00:00.0000, -4.784582942531320E+08, -5.743838909484227E+08, -2.791089142233936E+08,  3.080682596737067E-02,  7.979605125064949E+08,  3.029232282491486E+04,
2452786.500000000, A.D. 2003-May-27 00:00:00.0000, -4.702533055829420E+08, -5.816246331223888E+08, -2.789167940885578E+08,  3.081841089451395E-02,  7.982605860814351E+08,  2.972156987376572E+04,
2452796.500000000, A.D. 2003-Jun-06 00:00:00.0000, -4.619565862679836E+08, -5.887520350547059E+08, -2.786702820280082E+08,  3.082977452607403E-02,  7.985549276430497E+08,  2.914593864990648E+04,
2452806.500000000, A.D. 2003-Jun-16 00:00:00.0000, -4.535698532379968E+08, -5.957648336390468E+08, -2.783694866396245E+08,  3.084091500011923E-02,  7.988434889634559E+08,  2.856554013462739E+04,
2452816.500000000, A.D. 2003-Jun-26 00:00:00.0000, -4.450948352946625E+08, -6.026617884452238E+08, -2.780145257144713E+08,  3.085183049757660E-02,  7.991262229249024E+08,  2.798048536934719E+04,
2452826.500000000, A.D. 2003-Jul-06 00:00:00.0000, -4.365332728258453E+08, -6.094416817816877E+08, -2.776055261785039E+08,  3.086251924225290E-02,  7.994030835203102E+08,  2.739088544352555E+04,
2452836.500000000, A.D. 2003-Jul-16 00:00:00.0000, -4.278869175221772E+08, -6.161033187555015E+08, -2.771426240340675E+08,  3.087297950084135E-02,  7.996740258534487E+08,  2.679685141470892E+04,
2452846.500000000, A.D. 2003-Jul-26 00:00:00.0000, -4.191575320953179E+08, -6.226455273295325E+08, -2.766259643008606E+08,  3.088320958288646E-02,  7.999390061380242E+08,  2.619849420955800E+04,
2452856.500000000, A.D. 2003-Aug-05 00:00:00.0000, -4.103468899977705E+08, -6.290671583778369E+08, -2.760557009569744E+08,  3.089320784074097E-02,  8.001979816965644E+08,  2.559592468168831E+04,
2452866.500000000, A.D. 2003-Aug-15 00:00:00.0000, -4.014567751451562E+08, -6.353670857396225E+08, -2.754319968804715E+08,  3.090297266955157E-02,  8.004509109600496E+08,  2.498925367045156E+04,
2452876.500000000, A.D. 2003-Aug-25 00:00:00.0000, -3.924889816409716E+08, -6.415442062712870E+08, -2.747550237911545E+08,  3.091250250725263E-02,  8.006977534677492E+08,  2.437859199073348E+04,
2452886.500000000, A.D. 2003-Sep-04 00:00:00.0000, -3.834453135033383E+08, -6.475974398965597E+08, -2.740249621923742E+08,  3.092179583455508E-02,  8.009384698669329E+08,  2.376405043289471E+04,
2452896.500000000, A.D. 2003-Sep-14 00:00:00.0000, -3.743275843935777E+08, -6.535257296553209E+08, -2.732420013132052E+08,  3.093085117494859E-02,  8.011730219129300E+08,  2.314573983891863E+04,
2452906.500000000, A.D. 2003-Sep-24 00:00:00.0000, -3.651376173469890E+08, -6.593280417517289E+08, -2.724063390514961E+08,  3.093966709475080E-02,  8.014013724704022E+08,  2.252377126626001E+04,
2452916.500000000, A.D. 2003-Oct-04 00:00:00.0000, -3.558772445066371E+08, -6.650033656018789E+08, -2.715181819180995E+08,  3.094824220322802E-02,  8.016234855164694E+08,  2.189825617290047E+04,
2452926.500000000, A.D. 2003-Oct-14 00:00:00.0000, -3.465483068607410E+08, -6.705507138801903E+08, -2.705777449818438E+08,  3.095657515276246E-02,  8.018393261450443E+08,  2.126930644514479E+04,
2452936.500000000, A.D. 2003-Oct-24 00:00:00.0000, -3.371526539829744E+08, -6.759691225633408E+08, -2.695852518142804E+08,  3.096466463899749E-02,  8.020488605705920E+08,  2.063703429140426E+04,
2452946.500000000, A.D. 2003-Nov-03 00:00:00.0000, -3.276921437750055E+08, -6.812576509718654E+08, -2.685409344339912E+08,  3.097250940094423E-02,  8.022520561308920E+08,  2.000155214527380E+04,
2452956.500000000, A.D. 2003-Nov-13 00:00:00.0000, -3.181686422110589E+08, -6.864153818093674E+08, -2.674450332502138E+08,  3.098010822103725E-02,  8.024488812884821E+08,  1.936297248889640E+04,
2452966.500000000, A.D. 2003-Nov-23 00:00:00.0000, -3.085840230836164E+08, -6.914414211991708E+08, -2.662977970054559E+08,  3.098745992511285E-02,  8.026393056300932E+08,  1.872140765029407E+04,
