            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000,  6.561007931276441E+08,  3.145139942170293E+08,  1.513347377377481E+08,  1.38765730E+02,  9.85265182E+01,  1.13213501E+02,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000,  6.231948463458475E+08,  3.660822466211268E+08,  1.865627774673691E+08,  1.54231752E+02,  9.51063967E+01,  1.12614491E+02,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000,  5.849476289630945E+08,  4.145102335014398E+08,  2.201906445172869E+08,  1.70446430E+02,  9.13034363E+01,  1.11820733E+02,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000,  5.417578410538738E+08,  4.594328938454435E+08,  2.519566219081411E+08,  1.87102728E+02,  8.72230021E+01,  1.10836628E+02,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000,  4.940584809423848E+08,  5.005280846538956E+08,  2.816237326028463E+08,  2.03900413E+02,  8.30910077E+01,  1.09694794E+02,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000,  4.423101592778239E+08,  5.375177655044335E+08,  3.089809898937969E+08,  2.20542628E+02,  7.92998412E+01,  1.08464213E+02,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000,  3.869946211735629E+08,  5.701683945461971E+08,  3.338441295767135E+08,  2.36735944E+02,  7.64421396E+01,  1.07256354E+02,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000,  3.286086187884747E+08,  5.982906342569895E+08,  3.560558789724451E+08,  2.52192761E+02,  7.52907076E+01,  1.06227763E+02,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000,  2.676582130352404E+08,  6.217384622803833E+08,  3.754858154961661E+08,  2.66635051E+02,  7.66656645E+01,  1.05577103E+02,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000,  2.046535693874031E+08,  6.404078071177250E+08,  3.920298852919342E+08,  2.79798654E+02,  8.11891205E+01,  1.05534331E+02,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000,  1.401042881466326E+08,  6.542348164726350E+08,  4.056096493467501E+08,  2.91437558E+02,  8.90728404E+01,  1.06340533E+02,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000,  7.451528305812345E+07,  6.631938496593913E+08,  4.161713138585511E+08,  3.01327806E+02,  1.00110447E+02,  1.08219511E+02,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000,  8.383190767853673E+06,  6.672952834993916E+08,  4.236846016444035E+08,  3.09270817E+02,  1.13845209E+02,  1.11346288E+02,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -5.780670655577294E+07,  6.665832159387170E+08,  4.281415207312028E+08,  3.15096060E+02,  1.29748146E+02,  1.15821118E+02,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -1.235830784092539E+08,  6.611331310330999E+08,  4.295550735102988E+08,  3.18663074E+02,  1.47316596E+02,  1.21657010E+02,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -1.884907058611059E+08,  6.510495706545746E+08,  4.279579362560899E+08,  3.19862912E+02,  1.66104662E+02,  1.28783627E+02,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -2.520922593176236E+08,  6.364638652364451E+08,  4.234011482870351E+08,  3.18619146E+02,  1.85721684E+02,  1.37063804E+02,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -3.139697311530929E+08,  6.175319549584939E+08,  4.159528334731016E+08,  3.14888621E+02,  2.05821728E+02,  1.46315416E+02,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -3.737255784315688E+08,  5.944323180881989E+08,  4.056969677281613E+08,  3.08662178E+02,  2.26093289E+02,  1.56332054E+02,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -4.309836221602329E+08,  5.673640232769655E+08,  3.927322068640307E+08,  2.99965682E+02,  2.46251603E+02,  1.66898992E+02,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -4.853897541068489E+08,  5.365449186623768E+08,  3.771707884374147E+08,  2.88861825E+02,  2.66033509E+02,  1.77803842E+02,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -5.366124793261843E+08,  5.022099571322898E+08,  3.591375070260815E+08,  2.75453399E+02,  2.85194208E+02,  1.88842764E+02,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000, -5.843433444609721E+08,  4.646096485070897E+08,  3.387687612586492E+08,  2.59889178E+02,  3.03505318E+02,  1.99823633E+02,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000, -6.282972844721383E+08,  4.240086420980504E+08,  3.162116784824848E+08,  2.42374384E+02,  3.20753733E+02,  2.10567295E+02,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000, -6.682129171694653E+08,  3.806844266171405E+08,  2.916233102232568E+08,  2.23189235E+02,  3.36740986E+02,  2.20907793E+02,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000, -7.038528078713830E+08,  3.349261334402161E+08,  2.651698903240682E+08,  2.02721997E+02,  3.51282891E+02,  2.30692058E+02,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000, -7.350037379819815E+08,  2.870334287032616E+08,  2.370261508351971E+08,  1.81528322E+02,  3.64209372E+02,  2.39779404E+02,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000, -7.614769923370199E+08,  2.373154858050441E+08,  2.073746904565788E+08,  1.60437159E+02,  3.75364386E+02,  2.48040974E+02,
2380176.500000000, A.D. 1804-Aug-08 00:00:00.0000, -7.831086772630103E+08,  1.860900143638851E+08,  1.764053803162622E+08,  1.40729440E+02,  3.84605910E+02,  2.55359230E+02,
2380236.500000000, A.D. 1804-Oct-07 00:00:00.0000, -7.997600884427016E+08,  1.336823277078567E+08,  1.443147984812643E+08,  1.24379970E+02,  3.91805998E+02,  2.61627536E+02,
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000, -8.113181434255522E+08,  8.042443445931602E+07,  1.113056849428901E+08,  1.14142352E+02,  3.96850915E+02,  2.66749860E+02,
