            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -6.378854898178915E+08,  3.452413345142254E+08,  2.051190723156612E+08,  2.21324229E+06,  2.65913717E+06,  5.77420837E+05,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -6.709189323404946E+08,  2.859107600844038E+08,  1.902253364874693E+08,  1.91788773E+06,  2.74470113E+06,  6.45701610E+05,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -6.983786808454312E+08,  2.242077138915284E+08,  1.737526052307614E+08,  1.61811526E+06,  2.80302143E+06,  7.05809229E+05,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.200390485833467E+08,  1.606450160117560E+08,  1.558381394144117E+08,  1.31682246E+06,  2.83459840E+06,  7.57416980E+05,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.357261412249390E+08,  9.575127699632156E+07,  1.366318106458437E+08,  1.01673129E+06,  2.84023131E+06,  8.00366347E+05,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.453193874021521E+08,  3.006554052485979E+07,  1.162945487792181E+08,  7.20433529E+05,  2.82096377E+06,  8.34635436E+05,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.487524109371866E+08, -3.586814586923930E+07,  9.499667270568928E+07,  4.30757602E+05,  2.77802790E+06,  8.60314479E+05,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.460132288856270E+08, -1.015061491208942E+08,  7.291612782986625E+07,  1.55314271E+05,  2.71278889E+06,  8.77584020E+05,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.371438014385916E+08, -1.663105738936481E+08,  5.023666196652302E+07,  1.47326123E+05,  2.62669196E+06,  8.86694344E+05,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.222389614394410E+08, -2.297544098839535E+08,  2.714597158862423E+07,  4.03097954E+05,  2.52121357E+06,  8.87945833E+05,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -7.014447585621036E+08, -2.913264224955409E+08,  3.833849498755313E+06,  6.54862942E+05,  2.39781891E+06,  8.81670416E+05,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -6.749562575454438E+08, -3.505357338743851E+08, -1.950964472723528E+07,  8.95640852E+05,  2.25792734E+06,  8.68214492E+05,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -6.430148705867344E+08, -4.069160402568728E+08, -4.269595905477367E+07,  1.12408091E+06,  2.10288826E+06,  8.47923887E+05,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -6.059052708685195E+08, -4.600294164250889E+08, -6.553974698062325E+07,  1.33950750E+06,  1.93396989E+06,  8.21131257E+05,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -5.639519577085252E+08, -5.094696804905288E+08, -8.786047046609837E+07,  1.54147049E+06,  1.75236537E+06,  7.88146444E+05,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -5.175155383924485E+08, -5.548653042527683E+08, -1.094838932626502E+08,  1.72961881E+06,  1.55922456E+06,  7.49250222E+05,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -4.669888110196165E+08, -5.958818617522316E+08, -1.302434485485815E+08,  1.90363282E+06,  1.35573126E+06,  7.04691985E+05,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -4.127926935389903E+08, -6.322240034523475E+08, -1.499814734853945E+08,  2.06317529E+06,  1.14327691E+06,  6.54691911E+05,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -3.553720693326071E+08, -6.636369831345886E+08, -1.685503070442466E+08,  2.20785275E+06,  9.23886781E+05,  5.99448707E+05,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -2.951916073131721E+08, -6.899077490254217E+08, -1.858132471189106E+08,  2.33718567E+06,  7.01462378E+05,  5.39155137E+05,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -2.327316077554335E+08, -7.108656198687202E+08, -2.016453670916709E+08,  2.45058777E+06,  4.86397697E+05,  4.74026684E+05,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -1.684839077252141E+08, -7.263825707070950E+08, -2.159341952792544E+08,  2.54735476E+06,  3.17239659E+05,  4.04357715E+05,
