            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -7.727268481136078E+08,  9.082032709291342E+07,  5.304933837998704E+07,  5.54407590E+01,  1.19412179E+02,  6.49640660E+01,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -7.817735320540984E+08,  2.789077480373317E+07,  2.986623943276560E+07,  5.39083846E+01,  1.20620667E+02,  6.58760411E+01,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -7.850197396159310E+08, -3.524906281733882E+07,  6.460138832150559E+06,  5.44716535E+01,  1.21130037E+02,  6.71296149E+01,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.825073024569559E+08, -9.813390421899232E+07, -1.699484289505127E+07,  5.70943692E+01,  1.20941792E+02,  6.86756686E+01,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.743190021649449E+08, -1.603107654521182E+08, -4.032813556850912E+07,  6.14892197E+01,  1.20062666E+02,  7.04562636E+01,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.605761527406827E+08, -2.213417403549535E+08, -6.337381424313829E+07,  6.72440566E+01,  1.18504876E+02,  7.24090534E+01,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.414360721312535E+08, -2.808064165436237E+08, -8.597156126070191E+07,  7.39440705E+01,  1.16286665E+02,  7.44710546E+01,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.170894824064047E+08, -3.383039418490065E+08, -1.079674998131359E+08,  8.12331664E+01,  1.13433126E+02,  7.65815262E+01,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -6.877578879760199E+08, -3.934547731793337E+08, -1.292149102909962E+08,  8.88258246E+01,  1.09977343E+02,  7.86839460E+01,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -6.536909719984301E+08, -4.459021357382681E+08, -1.495748382885543E+08,  9.64972161E+01,  1.05961880E+02,  8.07272143E+01,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -6.151640465033441E+08, -4.953132203798181E+08, -1.689166036091528E+08,  1.04068788E+02,  1.01440751E+02,  8.26662677E+01,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -5.724755616495715E+08, -5.413801451633960E+08, -1.871182204441862E+08,  1.11395850E+02,  9.64820046E+01,  8.44622757E+01,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -5.259447051562217E+08, -5.838207253752898E+08, -2.040667439878834E+08,  1.18358489E+02,  9.11711947E+01,  8.60825668E+01,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -4.759090992531583E+08, -6.223790702362766E+08, -2.196585498532155E+08,  1.24855374E+02,  8.56160439E+01,  8.75003939E+01,
