            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -7.710647801324763E+08, -1.627440423496414E+08,  1.573487339273338E+07,  1.60442662E+02,  9.89562309E+02,  3.73596631E+02,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.581238509316869E+08, -2.236032894571567E+08, -7.286311550763987E+06,  2.48628017E+02,  9.67088038E+02,  3.74030649E+02,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.397148100292743E+08, -2.828547315918476E+08, -3.025666158473052E+07,  3.35943560E+02,  9.37933504E+02,  3.71968118E+02,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.160117068472292E+08, -3.400871233337924E+08, -5.301227534772467E+07,  4.20775941E+02,  9.02389961E+02,  3.67469576E+02,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -6.872204512007567E+08, -3.949084751595006E+08, -7.539308585068104E+07,  5.02319999E+02,  8.60768578E+02,  3.60607856E+02,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -6.535767880144460E+08, -4.469475652264543E+08, -9.724359601700436E+07,  5.79999299E+02,  8.13399225E+02,  3.51467856E+02,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -6.153442983800100E+08, -4.958552806603457E+08, -1.184135511301470E+08,  6.53333653E+02,  7.60629834E+02,  3.40146849E+02,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -5.728124392019250E+08, -5.413058140712171E+08, -1.387585554610922E+08,  7.21897204E+02,  7.02826365E+02,  3.26755429E+02,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -5.262946330634356E+08, -5.829977406005777E+08, -1.581406407803075E+08,  7.85302162E+02,  6.40373516E+02,  3.11419295E+02,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -4.761263935713620E+08, -6.206549862473543E+08, -1.764287935563357E+08,  8.43191597E+02,  5.73676451E+02,  2.94282201E+02,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -4.226634904617741E+08, -6.540277252894281E+08, -1.934994524309767E+08,  8.95236133E+02,  5.03164351E+02,  2.75510679E+02,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -3.662801511888343E+08, -6.828932143630496E+08, -2.092369792404202E+08,  9.41132576E+02,  4.29297961E+02,  2.55301611E+02,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -3.073672843590068E+08, -7.070565788114855E+08, -2.235341111572666E+08,  9.80603662E+02,  3.52587301E+02,  2.33894615E+02,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -2.463307084461825E+08, -7.263515598465577E+08, -2.362923986347979E+08,  1.01339857E+03,  2.73640734E+02,  2.11592847E+02,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -1.835893775180824E+08, -7.406412462203753E+08, -2.474226372388017E+08,  1.03929404E+03,  1.93338582E+02,  1.88799022E+02,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -1.195735904852504E+08, -7.498187806313108E+08, -2.568452926480596E+08,  1.05809599E+03,  1.13751899E+02,  1.66079214E+02,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -5.472315681010662E+07, -7.538080480957214E+08, -2.644909234031232E+08,  1.06964147E+03,  4.86567612E+01,  1.44275538E+02,
