            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -8.026343027367240E+08,  6.249331314100525E+07,  1.129123518877441E+07,  5.08622059E+01,  3.33096208E+02,  1.44836814E+02,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -8.073949649842136E+08,  2.549276018020222E+06, -1.303929038567615E+07,  4.19335237E+01,  3.35544549E+02,  1.44941909E+02,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -8.066973566486214E+08, -5.741398331255565E+07, -3.728265306812728E+07,  5.45639479E+01,  3.35780291E+02,  1.44380660E+02,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -8.005881429983606E+08, -1.169942121055689E+08, -6.127696340427495E+07,  7.89039525E+01,  3.33809752E+02,  1.43163374E+02,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.891439445784702E+08, -1.757970856041401E+08, -8.486405868440008E+07,  1.06995099E+02,  3.29643218E+02,  1.41304629E+02,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.724701968388073E+08, -2.334374214049709E+08, -1.078899741600301E+08,  1.36194545E+02,  3.23295487E+02,  1.38823941E+02,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.507000872414986E+08, -2.895402977679930E+08, -1.302053770032966E+08,  1.65518835E+02,  3.14786663E+02,  1.35746821E+02,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.239935748237973E+08, -3.437421026341321E+08, -1.516659736443012E+08,  1.94477021E+02,  3.04143232E+02,  1.32106274E+02,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -6.925364934419136E+08, -3.956915346234676E+08, -1.721328991179142E+08,  2.22752279E+02,  2.91399397E+02,  1.27944811E+02,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -6.565397185081599E+08, -4.450505821340398E+08, -1.914730985681967E+08,  2.50099112E+02,  2.76598744E+02,  1.23317101E+02,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -6.162384069801892E+08, -4.914955103694549E+08, -2.095597134576509E+08,  2.76304388E+02,  2.59796344E+02,  1.18293427E+02,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -5.718912911954147E+08, -5.347178679903114E+08, -2.262724764011727E+08,  3.01170727E+02,  2.41061570E+02,  1.12964127E+02,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -5.237800110295791E+08, -5.744255354149011E+08, -2.414981235760400E+08,  3.24508905E+02,  2.20482143E+02,  1.07445178E+02,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -4.722084627103704E+08, -6.103438334672476E+08, -2.551308319096677E+08,  3.46134386E+02,  1.98170571E+02,  1.01884899E+02,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -4.175021572283139E+08, -6.422167132278943E+08, -2.670726892305426E+08,  3.65865967E+02,  1.74275690E+02,  9.64712086E+01,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -3.600075532509373E+08, -6.698080255887731E+08, -2.772341961167825E+08,  3.83525615E+02,  1.49006101E+02,  9.14377166E+01,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -3.000913392678088E+08, -6.929028931133896E+08, -2.855348083988084E+08,  3.98939101E+02,  1.22684837E+02,  8.70647817E+01,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -2.381396399617850E+08, -7.113091889031491E+08, -2.919035215504742E+08,  4.11937179E+02,  9.58986238E+01,  8.36688977E+01,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -1.745571160140453E+08, -7.248591239146252E+08, -2.962794969747865E+08,  4.22357218E+02,  6.99869964E+01,  8.15726116E+01,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -1.097659144174868E+08, -7.334109369452718E+08, -2.986127274116394E+08,  4.30045199E+02,  4.88868189E+01,  8.10525052E+01,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000, -4.420443684963621E+07, -7.368506937815267E+08, -2.988647432256424E+08,  4.34858062E+02,  4.32288695E+01,  8.22777268E+01,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000,  2.167411054859100E+07, -7.350941759608803E+08, -2.970093511124954E+08,  4.36666358E+02,  5.90382622E+01,  8.52670313E+01,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000,  8.740343040104137E+07, -7.280888358578557E+08, -2.930333951248732E+08,  4.35357176E+02,  8.56492118E+01,  8.98883994E+01,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000,  1.525061567399413E+08, -7.158157992352613E+08, -2.869375316631914E+08,  4.30837327E+02,  1.15978946E+02,  9.58988266E+01,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000,  2.164962174636898E+08, -6.982918839999726E+08, -2.787370047489402E+08,  4.23036762E+02,  1.47620260E+02,  1.02998870E+02,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000,  2.788815789274034E+08, -6.755715763001343E+08, -2.684623977488166E+08,  4.11912150E+02,  1.79557662E+02,  1.10877547E+02,
2380176.500000000, A.D. 1804-Aug-08 00:00:00.0000,  3.391674080199588E+08, -6.477489165128908E+08, -2.561603413361627E+08,  3.97450599E+02,  2.11191367E+02,  1.19238599E+02,
2380236.500000000, A.D. 1804-Oct-07 00:00:00.0000,  3.968596808924592E+08, -6.149592329302392E+08, -2.418941520828022E+08,  3.79673468E+02,  2.42067417E+02,  1.27811190E+02,
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000,  4.514692417409307E+08, -5.773806454420712E+08, -2.257443700218114E+08,  3.58640255E+02,  2.71790658E+02,  1.36351556E+02,
2380356.500000000, A.D. 1805-Feb-04 00:00:00.0000,  5.025163239899825E+08, -5.352352395107887E+08, -2.078091553145146E+08,  3.34452557E+02,  2.99993612E+02,  1.44640879E+02,
2380416.500000000, A.D. 1805-Apr-05 00:00:00.0000,  5.495355202937455E+08, -4.887898364484743E+08, -1.882045134058699E+08,  3.07258323E+02,  3.26325642E+02,  1.52482358E+02,
2380476.500000000, A.D. 1805-Jun-04 00:00:00.0000,  5.920811589765568E+08, -4.383562487842404E+08, -1.670643050622842E+08,  2.77256881E+02,  3.50450705E+02,  1.59698840E+02,
2380536.500000000, A.D. 1805-Aug-03 00:00:00.0000,  6.297330262199869E+08, -3.842909200070735E+08, -1.445400013692452E+08,  2.44706125E+02,  3.72049242E+02,  1.66131444E+02,
2380596.500000000, A.D. 1805-Oct-02 00:00:00.0000,  6.621023549874921E+08, -3.269938449140947E+08, -1.208001433073687E+08,  2.09935503E+02,  3.90822310E+02,  1.71639185E+02,
2380656.500000000, A.D. 1805-Dec-01 00:00:00.0000,  6.888379681357145E+08, -2.669066961058365E+08, -9.602947720944287E+07,  1.73375477E+02,  4.06496959E+02,  1.76099461E+02,
2380716.500000000, A.D. 1806-Jan-30 00:00:00.0000,  7.096324182574552E+08, -2.045100669139086E+08, -7.042773332285123E+07,  1.35638729E+02,  4.18832247E+02,  1.79409155E+02,
2380776.500000000, A.D. 1806-Mar-31 00:00:00.0000,  7.242279711982505E+08, -1.403197826019929E+08, -4.420802999104133E+07,  9.77974411E+01,  4.27625449E+02,  1.81486170E+02,
2380836.500000000, A.D. 1806-May-30 00:00:00.0000,  7.324222463678650E+08, -7.488226274735095E+07, -1.759490002109132E+07,  6.26338159E+01,  4.32718084E+02,  1.82271171E+02,
2380896.500000000, A.D. 1806-Jul-29 00:00:00.0000,  7.340733023011804E+08, -8.768954291949527E+06,  9.178049122410363E+06,  4.12941227E+01,  4.34001361E+02,  1.81729368E+02,
2380956.500000000, A.D. 1806-Sep-27 00:00:00.0000,  7.291039571919289E+08,  5.743011803411107E+07,  3.587081878176056E+07,  5.47078492E+01,  4.31420700E+02,  1.79852156E+02,
