            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -6.342798231271833E+08,  4.490223985017133E+08,  1.538505867557251E+08,  1.59968692E+02,  2.03441715E+02,  1.04683332E+02,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -6.716985944804226E+08,  3.959395552708139E+08,  1.374034519069467E+08,  1.45634304E+02,  2.13629024E+02,  1.03794027E+02,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -7.043009128164605E+08,  3.400229022583216E+08,  1.199732831550671E+08,  1.30763714E+02,  2.22462188E+02,  1.03016915E+02,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.318442127150348E+08,  2.816687764950377E+08,  1.016834075470829E+08,  1.15684948E+02,  2.29843821E+02,  1.02373449E+02,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.541214589261845E+08,  2.212924312726435E+08,  8.266376662245519E+07,  1.00845221E+02,  2.35695245E+02,  1.01881288E+02,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.709628779786658E+08,  1.593251638041816E+08,  6.305002268816556E+07,  8.68851557E+01,  2.39957218E+02,  1.01554104E+02,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.822374407897316E+08,  9.621129328720002E+07,  4.298261324460921E+07,  7.47498976E+01,  2.42590794E+02,  1.01401502E+02,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.878540693889780E+08,  3.240500084328127E+07,  2.260575687668323E+07,  6.57751478E+01,  2.43578156E+02,  1.01429022E+02,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.877625636382506E+08, -3.163294518212629E+07,  2.066417424572760E+06,  6.14755385E+01,  2.42923328E+02,  1.01638179E+02,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.819542348236512E+08, -9.543855374787222E+07, -1.848676502553881E+07,  6.27070204E+01,  2.40652704E+02,  1.02026497E+02,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -7.704622266374376E+08, -1.585480356030867E+08, -3.890456672194017E+07,  6.88789272E+01,  2.36815324E+02,  1.02587525E+02,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -7.533615127286127E+08, -2.205012722383350E+08, -5.903829282044822E+07,  7.84225807E+01,  2.31482894E+02,  1.03310808E+02,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -7.307685793174152E+08, -2.808452929694508E+08, -7.874089696045510E+07,  8.97922351E+01,  2.24749568E+02,  1.04181825E+02,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -7.028407732674834E+08, -3.391377306810324E+08, -9.786809897991094E+07,  1.01872588E+02,  2.16731507E+02,  1.05181927E+02,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -6.697753188403262E+08, -3.949502275252156E+08, -1.162794919340219E+08,  1.13931723E+02,  2.07566320E+02,  1.06288314E+02,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -6.318080060730424E+08, -4.478717658349514E+08, -1.338396306560509E+08,  1.25490244E+02,  1.97412497E+02,  1.07474088E+02,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -5.892115674788092E+08, -4.975118865657301E+08, -1.504190881596546E+08,  1.36225886E+02,  1.86449034E+02,  1.08708448E+02,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -5.422937317195941E+08, -5.435037623763547E+08, -1.658954712678478E+08,  1.45917446E+02,  1.74875482E+02,  1.09957037E+02,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -4.913949828891574E+08, -5.855071059832462E+08, -1.801543879213905E+08,  1.54413316E+02,  1.62912733E+02,  1.11182484E+02,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -4.368860391103726E+08, -6.232108796407347E+08, -1.930903549355619E+08,  1.61613558E+02,  1.50804851E+02,  1.12345129E+02,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -3.791650703386211E+08, -6.563357753885877E+08, -2.046076362521963E+08,  1.67459127E+02,  1.38822191E+02,  1.13403927E+02,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -3.186546706614184E+08, -6.846364440166652E+08, -2.146210051449428E+08,  1.71924809E+02,  1.27265534E+02,  1.14317498E+02,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000, -2.557986236030764E+08, -7.079034579009168E+08, -2.230564235634708E+08,  1.75014037E+02,  1.16469896E+02,  1.15045284E+02,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000, -1.910584844982356E+08, -7.259649762501060E+08, -2.298516292454686E+08,  1.76754596E+02,  1.06804145E+02,  1.15548780E+02,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000, -1.249100064577670E+08, -7.386880976253458E+08, -2.349566254601642E+08,  1.77194716E+02,  9.86586735E+01,  1.15792780E+02,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000, -5.783944535295666E+07, -7.459798967958213E+08, -2.383340710206500E+08,  1.76399303E+02,  9.24099359E+01,  1.15746609E+02,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000,  9.660214066865452E+06, -7.477881294018778E+08, -2.399595647127703E+08,  1.74446259E+02,  8.83549171E+01,  1.15385304E+02,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000,  7.709308598067641E+07, -7.441015921963224E+08, -2.398218209541779E+08,  1.71422899E+02,  8.66292476E+01,  1.14690697E+02,
2380176.500000000, A.D. 1804-Aug-08 00:00:00.0000,  1.439642268134221E+08, -7.349501453170630E+08, -2.379227369638246E+08,  1.67422585E+02,  8.71516069E+01,  1.13652408E+02,
2380236.500000000, A.D. 1804-Oct-07 00:00:00.0000,  2.097834581482395E+08, -7.204044026513371E+08, -2.342773526677771E+08,  1.62541740E+02,  8.96372659E+01,  1.12268704E+02,
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000,  2.740691263667053E+08, -7.005750829854093E+08, -2.289137015252941E+08,  1.56877429E+02,  9.36770225E+01,  1.10547234E+02,
2380356.500000000, A.D. 1805-Feb-04 00:00:00.0000,  3.363517803127395E+08, -6.756120342212734E+08, -2.218725552376948E+08,  1.50525710E+02,  9.88325984E+01,  1.08505634E+02,
2380416.500000000, A.D. 1805-Apr-05 00:00:00.0000,  3.961777239425533E+08, -6.457029535829527E+08, -2.132070684375513E+08,  1.43580999E+02,  1.04704089E+02,  1.06171994E+02,
2380476.500000000, A.D. 1805-Jun-04 00:00:00.0000,  4.531124154230400E+08, -6.110718084191263E+08, -2.029823253236392E+08,  1.36136661E+02,  1.10958712E+02,  1.03585184E+02,
2380536.500000000, A.D. 1805-Aug-03 00:00:00.0000,  5.067436826676931E+08, -5.719769758665240E+08, -1.912747934556318E+08,  1.28287083E+02,  1.17332476E+02,  1.00795024E+02,
2380596.500000000, A.D. 1805-Oct-02 00:00:00.0000,  5.566847398865882E+08, -5.287091259155419E+08, -1.781716915727027E+08,  1.20131511E+02,  1.23619399E+02,  9.78622380E+01,
2380656.500000000, A.D. 1805-Dec-01 00:00:00.0000,  6.025769710542605E+08, -4.815888763843590E+08, -1.637702808840135E+08,  1.11779989E+02,  1.29657782E+02,  9.48581157E+01,
2380716.500000000, A.D. 1806-Jan-30 00:00:00.0000,  6.440924620222453E+08, -4.309642287559779E+08, -1.481770824477673E+08,  1.03361837E+02,  1.35317859E+02,  9.18637249E+01,
2380776.500000000, A.D. 1806-Mar-31 00:00:00.0000,  6.809362721714350E+08, -3.772078219962364E+08, -1.315070315413318E+08,  9.50371545E+01,  1.40492264E+02,  8.89684540E+01,
2380836.500000000, A.D. 1806-May-30 00:00:00.0000,  7.128484301911430E+08, -3.207140314709034E+08, -1.138825781074859E+08,  8.70115028E+01,  1.45089359E+02,  8.62675992E+01,
2380896.500000000, A.D. 1806-Jul-29 00:00:00.0000,  7.396056346079153E+08, -2.618959364019807E+08, -9.543274096153854E+07,  7.95525866E+01,  1.49029024E+02,  8.38586932E+01,
2380956.500000000, A.D. 1806-Sep-27 00:00:00.0000,  7.610226611325608E+08, -2.011821784489657E+08, -7.629212182966566E+07,  7.30035809E+01,  1.52240439E+02,  8.18363840E+01,
2381016.500000000, A.D. 1806-Nov-26 00:00:00.0000,  7.769534754753932E+08, -1.390137474213249E+08, -5.659989140748070E+07,  6.77790160E+01,  1.54661335E+02,  8.02859695E+01,
2381076.500000000, A.D. 1807-Jan-25 00:00:00.0000,  7.872920428379055E+08, -7.584071863208260E+07, -3.649875562638316E+07,  6.43183442E+01,  1.56238323E+02,  7.92761812E+01,
2381136.500000000, A.D. 1807-Mar-26 00:00:00.0000,  7.919728318561764E+08, -1.211896178716206E+07, -1.613390773908017E+07,  6.29781950E+01,  1.56927921E+02,  7.88523763E+01,
2381196.500000000, A.D. 1807-May-25 00:00:00.0000,  7.909710323736887E+08,  5.169315097251265E+07,  4.348024796802837E+06,  6.38948403E+01,  1.56697995E+02,  7.90316291E+01,
2381256.500000000, A.D. 1807-Jul-24 00:00:00.0000,  7.843024800089157E+08,  1.151380087590557E+08,  2.480002818579663E+07,  6.69125193E+01,  1.55529362E+02,  7.98010069E+01,
2381316.500000000, A.D. 1807-Sep-22 00:00:00.0000,  7.720232959112273E+08,  1.777619826751767E+08,  4.507574127404310E+07,  7.16419048E+01,  1.53417376E+02,  8.11195230E+01,
2381376.500000000, A.D. 1807-Nov-21 00:00:00.0000,  7.542292533760481E+08,  2.391185811568475E+08,  6.503047797951937E+07,  7.75943693E+01,  1.50373345E+02,  8.29231985E+01,
2381436.500000000, A.D. 1808-Jan-20 00:00:00.0000,  7.310548911070070E+08,  2.987715208764513E+08,  8.452222636599337E+07,  8.42944494E+01,  1.46425716E+02,  8.51318826E+01,
2381496.500000000, A.D. 1808-Mar-20 00:00:00.0000,  7.026723671586345E+08,  3.562976875980433E+08,  1.034126161927368E+08,  9.13326669E+01,  1.41620948E+02,  8.76562879E+01,
2381556.500000000, A.D. 1808-May-19 00:00:00.0000,  6.692900770810714E+08,  4.112899853307868E+08,  1.215678551485272E+08,  9.83750773E+01,  1.36024098E+02,  9.04040734E+01,
2381616.500000000, A.D. 1808-Jul-18 00:00:00.0000,  6.311510538036356E+08,  4.633600487616302E+08,  1.388596238436082E+08,  1.05154607E+02,  1.29719155E+02,  9.32844021E+01,
2381676.500000000, A.D. 1808-Sep-16 00:00:00.0000,  5.885311574291852E+08,  5.121408073360626E+08,  1.551659265177208E+08,  1.11458817E+02,  1.22809194E+02,  9.62109230E+01,
2381736.500000000, A.D. 1808-Nov-15 00:00:00.0000,  5.417370646960013E+08,  5.572888865656928E+08,  1.703718929420528E+08,  1.17119546E+02,  1.15416483E+02,  9.91034392E+01,
2381796.500000000, A.D. 1809-Jan-14 00:00:00.0000,  4.911040825868459E+08,  5.984868473733313E+08,  1.843705310595888E+08,  1.22005459E+02,  1.07682681E+02,  1.01888642E+02,
2381856.500000000, A.D. 1809-Mar-15 00:00:00.0000,  4.369938012790712E+08,  6.354452407351525E+08,  1.970634221537037E+08,  1.26017035E+02,  9.97692862E+01,  1.04500265E+02,
2381916.500000000, A.D. 1809-May-14 00:00:00.0000,  3.797915914874215E+08,  6.679044726124426E+08,  2.083613582520436E+08,  1.29083234E+02,  9.18583684E+01,  1.06878934E+02,
2381976.500000000, A.D. 1809-Jul-13 00:00:00.0000,  3.199039682391455E+08,  6.956364764380157E+08,  2.181849195120580E+08,  1.31159186E+02,  8.41533785E+01,  1.08971917E+02,
2382036.500000000, A.D. 1809-Sep-11 00:00:00.0000,  2.577558399422861E+08,  7.184461863981974E+08,  2.264649889879026E+08,  1.32224421E+02,  7.68791028E+01,  1.10732896E+02,
2382096.500000000, A.D. 1809-Nov-10 00:00:00.0000,  1.937876513038435E+08,  7.361727958019016E+08,  2.331432003234415E+08,  1.32281288E+02,  7.02784915E+01,  1.12121820E+02,
2382156.500000000, A.D. 1810-Jan-09 00:00:00.0000,  1.284524348944839E+08,  7.486908062630340E+08,  2.381723196425861E+08,  1.31353366E+02,  6.46020206E+01,  1.13104886E+02,
2382216.500000000, A.D. 1810-Mar-10 00:00:00.0000,  6.221279108142266E+07,  7.559108625178546E+08,  2.415165592005737E+08,  1.29483720E+02,  6.00837440E+01,  1.13654647E+02,
2382276.500000000, A.D. 1810-May-09 00:00:00.0000, -4.462186783677833E+06,  7.577803641713607E+08,  2.431518203832267E+08,  1.26732947E+02,  5.69010342E+01,  1.13750251E+02,
2382336.500000000, A.D. 1810-Jul-08 00:00:00.0000, -7.110003581244639E+07,  7.542838477874117E+08,  2.430658640880278E+08,  1.23176985E+02,  5.51267297E+01,  1.13377789E+02,
2382396.500000000, A.D. 1810-Sep-06 00:00:00.0000, -1.372280732520155E+08,  7.454431529617050E+08,  2.412584111471307E+08,  1.18904732E+02,  5.46983443E+01,  1.12530750E+02,
2382456.500000000, A.D. 1810-Nov-05 00:00:00.0000, -2.023765542289137E+08,  7.313173542782253E+08,  2.377411681457827E+08,  1.14015549E+02,  5.54291324E+01,  1.11210573E+02,
2382516.500000000, A.D. 1811-Jan-04 00:00:00.0000, -2.660818261306649E+08,  7.120024621362120E+08,  2.325377790842690E+08,  1.08616786E+02,  5.70593640E+01,  1.09427280E+02,
2382576.500000000, A.D. 1811-Mar-05 00:00:00.0000, -3.278894653084018E+08,  6.876308912885518E+08,  2.256837020604318E+08,  1.02821542E+02,  5.93188509E+01,  1.07200204E+02,
2382636.500000000, A.D. 1811-May-04 00:00:00.0000, -3.873573754087741E+08,  6.583707083449254E+08,  2.172260138659267E+08,  9.67469678E+01,  6.19725665E+01,  1.04558814E+02,
2382696.500000000, A.D. 1811-Jul-03 00:00:00.0000, -4.440588257859787E+08,  6.244246380694499E+08,  2.072231374124409E+08,  9.05135308E+01,  6.48409504E+01,  1.01543635E+02,
2382756.500000000, A.D. 1811-Sep-01 00:00:00.0000, -4.975854247890999E+08,  5.860288461498839E+08,  1.957444956828489E+08,  8.42458248E+01,  6.78011158E+01,  9.82072903E+01,
2382816.500000000, A.D. 1811-Oct-31 00:00:00.0000, -5.475500008419485E+08,  5.434514982799628E+08,  1.828700928113676E+08,  7.80756488E+01,  7.07780723E+01,  9.46156389E+01,
2382876.500000000, A.D. 1811-Dec-30 00:00:00.0000, -5.935893738240194E+08,  4.969910986038445E+08,  1.686900230194449E+08,  7.21481388E+01,  7.37322891E+01,  9.08489569E+01,
2382936.500000000, A.D. 1812-Feb-28 00:00:00.0000, -6.353669973716125E+08,  4.469746051236802E+08,  1.533039065279689E+08,  6.66314317E+01,  7.66468425E+01,  8.70030079E+01,
2382996.500000000, A.D. 1812-Apr-28 00:00:00.0000, -6.725754634240893E+08,  3.937553412117155E+08,  1.368202574972796E+08,  6.17290726E+01,  7.95155832E+01,  8.31896799E+01,
2383056.500000000, A.D. 1812-Jun-27 00:00:00.0000, -7.049388360727310E+08,  3.377107059987323E+08,  1.193557859674402E+08,  5.76910773E+01,  8.23329922E+01,  7.95365860E+01,
2383116.500000000, A.D. 1812-Aug-26 00:00:00.0000, -7.322148009993724E+08,  2.792396882706748E+08,  1.010346340155357E+08,  5.48135203E+01,  8.50861304E+01,  7.61846712E+01,
2383176.500000000, A.D. 1812-Oct-25 00:00:00.0000, -7.541966172461170E+08,  2.187601992304696E+08,  8.198755086468790E+07,  5.34110020E+01,  8.77489564E+01,  7.32825526E+01,
2383236.500000000, A.D. 1812-Dec-24 00:00:00.0000, -7.707148505568750E+08,  1.567062428545834E+08,  6.235101317424892E+07,  5.37534003E+01,  9.02791231E+01,  7.09763915E+01,
2383296.500000000, A.D. 1813-Feb-22 00:00:00.0000, -7.816388615180136E+08,  9.352492983462150E+07,  4.226629198155538E+07,  5.59888279E+01,  9.26171645E+01,  6.93950689E+01,
2383356.500000000, A.D. 1813-Apr-23 00:00:00.0000, -7.868780420623782E+08,  2.967335438011078E+07,  2.187847160236491E+07,  6.01039215E+01,  9.46877854E+01,  6.86326101E+01,
2383416.500000000, A.D. 1813-Jun-22 00:00:00.0000, -7.863827851363778E+08, -3.438464603157026E+07,  1.335427293288478E+06,  6.59504125E+01,  9.64028295E+01,  6.87324663E+01,
2383476.500000000, A.D. 1813-Aug-21 00:00:00.0000, -7.801451646948160E+08, -9.818182293950836E+07, -1.921323043916219E+07,  7.33099662E+01,  9.76654625E+01,  6.96793837E+01,
2383536.500000000, A.D. 1813-Oct-20 00:00:00.0000, -7.681993136560477E+08, -1.612509299940108E+08, -3.961724277519562E+07,  8.19506182E+01,  9.83751741E+01,  7.14023852E+01,
2383596.500000000, A.D. 1813-Dec-19 00:00:00.0000, -7.506215018656155E+08, -2.231281830673769E+08, -5.972680877475960E+07,  9.16550162E+01,  9.84333461E+01,  7.37876837E+01,
2383656.500000000, A.D. 1814-Feb-17 00:00:00.0000, -7.275298898544127E+08, -2.833567429991063E+08, -7.939370367704318E+07,  1.02226369E+02,  9.77493266E+01,  7.66964769E+01,
2383716.500000000, A.D. 1814-Apr-18 00:00:00.0000, -6.990839560916411E+08, -3.414901937515646E+08, -9.847240103660376E+07,  1.13483947E+02,  9.62472073E+01,  7.99820294E+01,
2383776.500000000, A.D. 1814-Jun-17 00:00:00.0000, -6.654835949405192E+08, -3.970959932612405E+08, -1.168211917456919E+08,  1.25256059E+02,  9.38738388E+01,  8.35026223E+01,
2383836.500000000, A.D. 1814-Aug-16 00:00:00.0000, -6.269678933584538E+08, -4.497588587670568E+08, -1.343032862589101E+08,  1.37373955E+02,  9.06091222E+01,  8.71296004E+01,
2383896.500000000, A.D. 1814-Oct-15 00:00:00.0000, -5.838135678744715E+08, -4.990840561607041E+08, -1.507878923726254E+08,  1.49667640E+02,  8.64804090E+01,  9.07513860E+01,
2383956.500000000, A.D. 1814-Dec-14 00:00:00.0000, -5.363330851353406E+08, -5.447005710737765E+08, -1.661512601384453E+08,  1.61963532E+02,  8.15841777E+01,  9.42748176E+01,
2384016.500000000, A.D. 1815-Feb-12 00:00:00.0000, -4.848724718709229E+08, -5.862641257035273E+08, -1.802776821027822E+08,  1.74083603E+02,  7.61200904E+01,  9.76249829E+01,
2384076.500000000, A.D. 1815-Apr-13 00:00:00.0000, -4.298088266386902E+08, -6.234600069936531E+08, -1.930604377425075E+08,  1.85845649E+02,  7.04442178E+01,  1.00744337E+02,
2384136.500000000, A.D. 1815-Jun-12 00:00:00.0000, -3.715475422976406E+08, -6.560056800853585E+08, -2.044026745118808E+08,  1.97064371E+02,  6.51443313E+01,  1.03591553E+02,
2384196.500000000, A.D. 1815-Aug-11 00:00:00.0000, -3.105192725470232E+08, -6.836531655961043E+08, -2.142182166343321E+08,  2.07553064E+02,  6.11123861E+01,  1.06140309E+02,
2384256.500000000, A.D. 1815-Oct-10 00:00:00.0000, -2.471766609340714E+08, -7.061911437602128E+08, -2.224322904244505E+08,  2.17125737E+02,  5.95088357E+01,  1.08378095E+02,
2384316.500000000, A.D. 1815-Dec-09 00:00:00.0000, -1.819908554854869E+08, -7.234467632420080E+08, -2.289821588729855E+08,  2.25599558E+02,  6.14447878E+01,  1.10304994E+02,
2384376.500000000, A.D. 1816-Feb-07 00:00:00.0000, -1.154478424609616E+08, -7.352871432893736E+08, -2.338176606024812E+08,  2.32797534E+02,  6.74547469E+01,  1.11932428E+02,
2384436.500000000, A.D. 1816-Apr-07 00:00:00.0000, -4.804463905377079E+07, -7.416205441383795E+08, -2.369016444239055E+08,  2.38551367E+02,  7.72897139E+01,  1.13281774E+02,
2384496.500000000, A.D. 1816-Jun-06 00:00:00.0000,  1.971462983043864E+07, -7.423971870716820E+08, -2.382102941148832E+08,  2.42704408E+02,  9.02432059E+01,  1.14382810E+02,
2384556.500000000, A.D. 1816-Aug-05 00:00:00.0000,  8.732273003534777E+07, -7.376097207373167E+08, -2.377333407574970E+08,  2.45114695E+02,  1.05552438E+02,  1.15271933E+02,
2384616.500000000, A.D. 1816-Oct-04 00:00:00.0000,  1.542733533179742E+08, -7.272933316584998E+08, -2.354741612884149E+08,  2.45658013E+02,  1.22571583E+02,  1.15990139E+02,
2384676.500000000, A.D. 1816-Dec-03 00:00:00.0000,  2.200651434194459E+08, -7.115254837393032E+08, -2.314497586418675E+08,  2.44230938E+02,  1.40783824E+02,  1.16580771E+02,
2384736.500000000, A.D. 1817-Feb-01 00:00:00.0000,  2.842056888757030E+08, -6.904252946101731E+08, -2.256906248763424E+08,  2.40753870E+02,  1.59766414E+02,  1.17087091E+02,
2384796.500000000, A.D. 1817-Apr-02 00:00:00.0000,  3.462154319288947E+08, -6.641525640196044E+08, -2.182404909037831E+08,  2.35174053E+02,  1.79156857E+02,  1.17549794E+02,
2384856.500000000, A.D. 1817-Jun-01 00:00:00.0000,  4.056314592945700E+08, -6.329064544858546E+08, -2.091559632794577E+08,  2.27468661E+02,  1.98629967E+02,  1.18004597E+02,
2384916.500000000, A.D. 1817-Jul-31 00:00:00.0000,  4.620111364288210E+08, -5.969238389245499E+08, -1.985060518352636E+08,  2.17648095E+02,  2.17884342E+02,  1.18480104E+02,
2384976.500000000, A.D. 1817-Sep-29 00:00:00.0000,  5.149355612900258E+08, -5.564773375336299E+08, -1.863715942109093E+08,  2.05759868E+02,  2.36635256E+02,  1.18996126E+02,
2385036.500000000, A.D. 1817-Nov-28 00:00:00.0000,  5.640127943377129E+08, -5.118730698903502E+08, -1.728445857931895E+08,  1.91893777E+02,  2.54611600E+02,  1.19562636E+02,
2385096.500000000, A.D. 1818-Jan-27 00:00:00.0000,  6.088808393783611E+08, -4.634481316528326E+08, -1.580274176912999E+08,  1.76189822E+02,  2.71555347E+02,  1.20179464E+02,
2385156.500000000, A.D. 1818-Mar-28 00:00:00.0000,  6.492103563632742E+08, -4.115678348812340E+08, -1.420320339042762E+08,  1.58851960E+02,  2.87222567E+02,  1.20836785E+02,
2385216.500000000, A.D. 1818-May-27 00:00:00.0000,  6.847070826029693E+08, -3.566227405687574E+08, -1.249790170947031E+08,  1.40174514E+02,  3.01385358E+02,  1.21516329E+02,
2385276.500000000, A.D. 1818-Jul-26 00:00:00.0000,  7.151139356072856E+08, -2.990255094053153E+08, -1.069966115294011E+08,  1.20597164E+02,  3.13834263E+02,  1.22193209E+02,
