            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000,  7.639006364456158E+08,  1.239709794027606E+08,  7.733595938186640E+07,  1.06332854E+02,  4.33208012E+02,  2.45351258E+02,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000,  7.502306132171354E+08,  1.834619813683481E+08,  1.068725973720684E+08,  1.40249477E+02,  4.22228622E+02,  2.36614235E+02,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000,  7.309128760709801E+08,  2.415681973246194E+08,  1.356028913539368E+08,  1.78954241E+02,  4.08365066E+02,  2.26627168E+02,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000,  7.061345608484666E+08,  2.978656779723971E+08,  1.633181182589682E+08,  2.19035536E+02,  3.91750117E+02,  2.15534469E+02,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000,  6.761206152043455E+08,  3.519502714074103E+08,  1.898202270300674E+08,  2.59008505E+02,  3.72514291E+02,  2.03496333E+02,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000,  6.411309985933627E+08,  4.034400260734160E+08,  2.149229871196309E+08,  2.98111443E+02,  3.50788106E+02,  1.90695871E+02,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000,  6.014577760556052E+08,  4.519772841292911E+08,  2.384529797889720E+08,  3.35878725E+02,  3.26707031E+02,  1.77350769E+02,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000,  5.574221532552497E+08,  4.972304663055977E+08,  2.602504340138820E+08,  3.71977082E+02,  3.00420232E+02,  1.63731411E+02,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000,  5.093714747928762E+08,  5.388955680941055E+08,  2.801699166285533E+08,  4.06135443E+02,  2.72105419E+02,  1.50187887E+02,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000,  4.576762287464262E+08,  5.766973924649296E+08,  2.980808904680503E+08,  4.38111984E+02,  2.41995011E+02,  1.37187847E+02,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000,  4.027270851179177E+08,  6.103905391355113E+08,  3.138681516076375E+08,  4.67677790E+02,  2.10425965E+02,  1.25362468E+02,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000,  3.449319831429807E+08,  6.397601651080098E+08,  3.274321526541866E+08,  4.94608858E+02,  1.77944555E+02,  1.15542059E+02,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000,  2.847132794144766E+08,  6.646225471773264E+08,  3.386892280499007E+08,  5.18682761E+02,  1.45550957E+02,  1.08728608E+02,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000,  2.225049742624188E+08,  6.848254687614013E+08,  3.475717330012150E+08,  5.39678173E+02,  1.15317605E+02,  1.05921698E+02,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000,  1.587500210024871E+08,  7.002484467711363E+08,  3.540281039678055E+08,  5.57376250E+02,  9.18566695E+01,  1.07782949E+02,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000,  9.389771248030581E+07,  7.108028144652917E+08,  3.580228480148960E+08,  5.71563286E+02,  8.36792747E+01,  1.14342624E+02,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000,  2.840114914697814E+07,  7.164316907737477E+08,  3.595364774920328E+08,  5.82034238E+02,  9.66451405E+01,  1.25024947E+02,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -3.728521178805277E+07,  7.171098386667687E+08,  3.585653904008759E+08,  5.88596838E+02,  1.25436277E+02,  1.38951284E+02,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -1.027079387623910E+08,  7.128434276381117E+08,  3.551217040795310E+08,  5.91076053E+02,  1.62433051E+02,  1.55235400E+02,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -1.674169464784170E+08,  7.036697107773570E+08,  3.492330473018361E+08,  5.89318738E+02,  2.03454323E+02,  1.73122270E+02,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -2.309677610701134E+08,  6.896566322997277E+08,  3.409423190234675E+08,  5.83198376E+02,  2.46480309E+02,  1.92007303E+02,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -2.929237342998264E+08,  6.709023526120836E+08,  3.303074061002235E+08,  5.72619781E+02,  2.90393083E+02,  2.11408512E+02,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000, -3.528582291145605E+08,  6.475347049484458E+08,  3.174008677200979E+08,  5.57523773E+02,  3.34447315E+02,  2.30932069E+02,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000, -4.103567752209086E+08,  6.197105835354896E+08,  3.023095861290929E+08,  5.37891842E+02,  3.78061605E+02,  2.50244601E+02,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000, -4.650192054878831E+08,  5.876152578873969E+08,  2.851343806060970E+08,  5.13750965E+02,  4.20731869E+02,  2.69053928E+02,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000, -5.164617785481638E+08,  5.514616021740682E+08,  2.659895790391002E+08,  4.85178847E+02,  4.61993557E+02,  2.87096637E+02,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000, -5.643193029629114E+08,  5.114892426000813E+08,  2.450025487736855E+08,  4.52310303E+02,  5.01405143E+02,  3.04130542E+02,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000, -6.082472532299750E+08,  4.679636100705287E+08,  2.223131798024067E+08,  4.15346121E+02,  5.38541633E+02,  3.19930449E+02,
2380176.500000000, A.D. 1804-Aug-08 00:00:00.0000, -6.479238850447097E+08,  4.211748802724575E+08,  1.980733114890355E+08,  3.74567322E+02,  5.72993194E+02,  3.34286161E+02,
2380236.500000000, A.D. 1804-Oct-07 00:00:00.0000, -6.830523517565086E+08,  3.714367938373497E+08,  1.724460995212022E+08,  3.30361547E+02,  6.04366561E+02,  3.47001998E+02,
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000, -7.133628165889839E+08,  3.190853467829865E+08,  1.456053176810164E+08,  2.83278319E+02,  6.32288028E+02,  3.57897333E+02,
