            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -5.616198752462965E+08,  4.465601157272575E+08,  2.056581484093404E+08,  7.15185006E+01,  7.53614918E+01,  7.89569083E+01,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -6.083223132774756E+08,  3.970806621832051E+08,  1.865703264393140E+08,  6.74711288E+01,  7.87131219E+01,  7.88172556E+01,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -6.498943434194179E+08,  3.442637921677184E+08,  1.659139335431365E+08,  6.33759561E+01,  8.16547431E+01,  7.84326654E+01,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -6.860713151479121E+08,  2.885992782604294E+08,  1.438846018503685E+08,  5.94323125E+01,  8.41533053E+01,  7.78236875E+01,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.166470194898353E+08,  2.305878023649362E+08,  1.206845064261013E+08,  5.58715800E+01,  8.61902961E+01,  7.70177521E+01,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.414724971028872E+08,  1.707345268023084E+08,  9.651963892114589E+07,  5.29521646E+01,  8.77590259E+01,  7.60485480E+01,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.604540141971316E+08,  1.095432567238438E+08,  7.159729985624655E+07,  5.09404118E+01,  8.88619051E+01,  7.49551790E+01,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.735503781345274E+08,  4.751126406659091E+07,  4.612384513506237E+07,  5.00718801E+01,  8.95078614E+01,  7.37811018E+01,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -7.807697511729903E+08, -1.487519448370024E+07,  2.030270522572940E+07,  5.04998712E+01,  8.97100432E+01,  7.25728451E+01,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -7.821661307300357E+08, -7.714467344631527E+07, -5.667320413893590E+06,  5.22562694E+01,  8.94839518E+01,  7.13785213E+01,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -7.778356424339937E+08, -1.388436592775857E+08, -3.159349295818215E+07,  5.52510161E+01,  8.88461155E+01,  7.02461546E+01,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -7.679127544849627E+08, -1.995390648220921E+08, -5.729030497453868E+07,  5.93100493E+01,  8.78133871E+01,  6.92218650E+01,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -7.525665184911005E+08, -2.588201523344212E+08, -8.258041165931849E+07,  6.42254570E+01,  8.64029198E+01,  6.83479907E+01,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -7.319969209286026E+08, -3.162999540548211E+08, -1.072953482763546E+08,  6.97931714E+01,  8.46328525E+01,  6.76612708E+01,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -7.064314059813266E+08, -3.716162459529575E+08, -1.312760549908552E+08,  7.58312719E+01,  8.25237271E+01,  6.71912473E+01,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -6.761215977680764E+08, -4.244321499160917E+08, -1.543732400104519E+08,  8.21840687E+01,  8.01006557E+01,  6.69590611E+01,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -6.413402659832760E+08, -4.744364306304773E+08, -1.764476066338426E+08,  8.87191811E+01,  7.73962937E+01,  6.69768012E+01,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -6.023785431658412E+08, -5.213435448249124E+08, -1.973699683300067E+08,  9.53224621E+01,  7.44546992E+01,  6.72474960E+01,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -5.595433957756510E+08, -5.648934953241142E+08, -2.170212737004990E+08,  1.01893102E+02,  7.13361840E+01,  6.77657441E+01,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -5.131553426134927E+08, -6.048515469797878E+08, -2.352925653720633E+08,  1.08339724E+02,  6.81232184E+01,  6.85188774E+01,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000, -4.635464208827273E+08, -6.410078472422314E+08, -2.520848903826233E+08,  1.14577593E+02,  6.49272253E+01,  6.94884755E+01,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000, -4.110583749548522E+08, -6.731769824451637E+08, -2.673091764417189E+08,  1.20526769E+02,  6.18954428E+01,  7.06520131E+01,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000, -3.560410493571348E+08, -7.011975074223481E+08, -2.808860899778478E+08,  1.26111028E+02,  5.92156472E+01,  7.19844410E+01,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000, -2.988509709871004E+08, -7.249314804821286E+08, -2.927458899153525E+08,  1.31257338E+02,  5.71142697E+01,  7.34595524E+01,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000, -2.398500980629186E+08, -7.442640167229685E+08, -3.028282835005478E+08,  1.35895743E+02,  5.58413222E+01,  7.50510486E+01,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000, -1.794047056355549E+08, -7.591028811686159E+08, -3.110822942415271E+08,  1.39959525E+02,  5.56369808E+01,  7.67332786E+01,
2380176.500000000, A.D. 1804-Aug-08 00:00:00.0000, -1.178843893072539E+08, -7.693781409091589E+08, -3.174661502469433E+08,  1.43385583E+02,  5.66840616E+01,  7.84816761E+01,
2380236.500000000, A.D. 1804-Oct-07 00:00:00.0000, -5.566116623560939E+07, -7.750418878703691E+08, -3.219471988690065E+08,  1.46114934E+02,  5.90652521E+01,  8.02729407E+01,
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000,  6.891353705164715E+06, -7.760680295263932E+08, -3.245018474228308E+08,  1.48093316E+02,  6.27484049E+01,  8.20850231E+01,
2380356.500000000, A.D. 1805-Feb-04 00:00:00.0000,  6.939875394933614E+07, -7.724521670064979E+08, -3.251155388067862E+08,  1.49271862E+02,  6.76065064E+01,  8.38969766E+01,
2380416.500000000, A.D. 1805-Apr-05 00:00:00.0000,  1.314865691632469E+08, -7.642115596707411E+08, -3.237827623181697E+08,  1.49607825E+02,  7.34565051E+01,  8.56887294E+01,
2380476.500000000, A.D. 1805-Jun-04 00:00:00.0000,  1.927810438856223E+08, -7.513851746722323E+08, -3.205071000743406E+08,  1.49065357E+02,  8.00957384E+01,  8.74408238E+01,
2380536.500000000, A.D. 1805-Aug-03 00:00:00.0000,  2.529099152528112E+08, -7.340338193892440E+08, -3.153013087643926E+08,  1.47616345E+02,  8.73252148E+01,  8.91341577E+01,
2380596.500000000, A.D. 1805-Oct-02 00:00:00.0000,  3.115032461450136E+08, -7.122403633871406E+08, -3.081874404529688E+08,  1.45241330E+02,  9.49601103E+01,  9.07497615E+01,
2380656.500000000, A.D. 1805-Dec-01 00:00:00.0000,  3.681943230577970E+08, -6.861100339803761E+08, -2.991969965160365E+08,  1.41930536E+02,  1.02832181E+02,  9.22686250E+01,
2380716.500000000, A.D. 1806-Jan-30 00:00:00.0000,  4.226206544351606E+08, -6.557707779435831E+08, -2.883711124004225E+08,  1.37685076E+02,  1.10788401E+02,  9.36715943E+01,
2380776.500000000, A.D. 1806-Mar-31 00:00:00.0000,  4.744250892099764E+08, -6.213736843716091E+08, -2.757607720252028E+08,  1.32518425E+02,  1.18688436E+02,  9.49393466E+01,
2380836.500000000, A.D. 1806-May-30 00:00:00.0000,  5.232570791575627E+08, -5.830934521242796E+08, -2.614270457833043E+08,  1.26458334E+02,  1.26402189E+02,  9.60524500E+01,
2380896.500000000, A.D. 1806-Jul-29 00:00:00.0000,  5.687741071151072E+08, -5.411288763529062E+08, -2.454413421264282E+08,  1.19549443E+02,  1.33807882E+02,  9.69915124E+01,
2380956.500000000, A.D. 1806-Sep-27 00:00:00.0000,  6.106433151649964E+08, -4.957033387886235E+08, -2.278856672986756E+08,  1.11857079E+02,  1.40790773E+02,  9.77374216E+01,
2381016.500000000, A.D. 1806-Nov-26 00:00:00.0000,  6.485433472762263E+08, -4.470652757113344E+08, -2.088528832974731E+08,  1.03473075E+02,  1.47242446E+02,  9.82716798E+01,
2381076.500000000, A.D. 1807-Jan-25 00:00:00.0000,  6.821664257710527E+08, -3.954885842443004E+08, -1.884469479085257E+08,  9.45251400E+01,  1.53060593E+02,  9.85768282E+01,
2381136.500000000, A.D. 1807-Mar-26 00:00:00.0000,  7.112206853445441E+08, -3.412729276071285E+08, -1.667831212096425E+08,  8.51925188E+01,  1.58149197E+02,  9.86369658E+01,
2381196.500000000, A.D. 1807-May-25 00:00:00.0000,  7.354327810833994E+08, -2.847439027351180E+08, -1.439881240002254E+08,  7.57328805E+01,  1.62419043E+02,  9.84383613E+01,
2381256.500000000, A.D. 1807-Jul-24 00:00:00.0000,  7.545507661265833E+08, -2.262530103704619E+08, -1.202002230552399E+08,  6.65281218E+01,  1.65788488E+02,  9.79701536E+01,
2381316.500000000, A.D. 1807-Sep-22 00:00:00.0000,  7.683472475869558E+08, -1.661773695836850E+08, -9.556921893371260E+07,  5.81560271E+01,  1.68184448E+02,  9.72251422E+01,
2381376.500000000, A.D. 1807-Nov-21 00:00:00.0000,  7.766228109252824E+08, -1.049191130207404E+08, -7.025630981306663E+07,  5.14693673E+01,  1.69543564E+02,  9.62006620E+01,
2381436.500000000, A.D. 1808-Jan-20 00:00:00.0000,  7.792096873074703E+08, -4.290439963950267E+07, -4.443380401661273E+07,  4.75624505E+01,  1.69813505E+02,  9.48995354E+01,
2381496.500000000, A.D. 1808-Mar-20 00:00:00.0000,  7.759756123174559E+08,  1.941803944226890E+07, -1.828464402669561E+07,  4.73767549E+01,  1.68954365E+02,  9.33310838E+01,
2381556.500000000, A.D. 1808-May-19 00:00:00.0000,  7.668278396984724E+08,  8.157888983573718E+07,  7.998287299128678E+06,  5.10434685E+01,  1.66940150E+02,  9.15121813E+01,
2381616.500000000, A.D. 1808-Jul-18 00:00:00.0000,  7.517172152750450E+08,  1.430908455814278E+08,  3.421310981703953E+07,  5.77823590E+01,  1.63760299E+02,  8.94683033E+01,
2381676.500000000, A.D. 1808-Sep-16 00:00:00.0000,  7.306422112390146E+08,  2.034518701420852E+08,  6.015017003674322E+07,  6.65032710E+01,  1.59421223E+02,  8.72345047E+01,
2381736.500000000, A.D. 1808-Nov-15 00:00:00.0000,  7.036527917638108E+08,  2.621491815841081E+08,  8.559357301393083E+07,  7.62838148E+01,  1.53947843E+02,  8.48562164E+01,
2381796.500000000, A.D. 1809-Jan-14 00:00:00.0000,  6.708539787968527E+08,  3.186639912381791E+08,  1.103230387069362E+08,  8.64610535E+01,  1.47385139E+02,  8.23896975E+01,
2381856.500000000, A.D. 1809-Mar-15 00:00:00.0000,  6.324089258250759E+08,  3.724769939567695E+08,  1.341160890558418E+08,  9.65680627E+01,  1.39799737E+02,  7.99018909E+01,
2381916.500000000, A.D. 1809-May-14 00:00:00.0000,  5.885413245522821E+08,  4.230745958256105E+08,  1.567505658571292E+08,  1.06263837E+02,  1.31281658E+02,  7.74693502E+01,
2381976.500000000, A.D. 1809-Jul-13 00:00:00.0000,  5.395369544895178E+08,  4.699558087713044E+08,  1.780074562022996E+08,  1.15287577E+02,  1.21946457E+02,  7.51758370E+01,
2382036.500000000, A.D. 1809-Sep-11 00:00:00.0000,  4.857441841312444E+08,  5.126396990050668E+08,  1.976739853020587E+08,  1.23432955E+02,  1.11938227E+02,  7.31081956E+01,
2382096.500000000, A.D. 1809-Nov-10 00:00:00.0000,  4.275732332545288E+08,  5.506732314904267E+08,  2.155469174978381E+08,  1.30534588E+02,  1.01434331E+02,  7.13502966E+01,
2382156.500000000, A.D. 1810-Jan-09 00:00:00.0000,  3.654940598369726E+08,  5.836393188373348E+08,  2.314359898117340E+08,  1.36461347E+02,  9.06534664E+01,  6.99752877E+01,
2382216.500000000, A.D. 1810-Mar-10 00:00:00.0000,  3.000327646243300E+08,  6.111648224341577E+08,  2.451673766423570E+08,  1.41113351E+02,  7.98698232E+01,  6.90370755E+01,
2382276.500000000, A.D. 1810-May-09 00:00:00.0000,  2.317664583539691E+08,  6.329282217839849E+08,  2.565870692061321E+08,  1.44420797E+02,  6.94376526E+01,  6.85626687E+01,
2382336.500000000, A.D. 1810-Jul-08 00:00:00.0000,  1.613166079695782E+08,  6.486666673593032E+08,  2.655640496433907E+08,  1.46343536E+02,  5.98304514E+01,  6.85473268E+01,
2382396.500000000, A.D. 1810-Sep-06 00:00:00.0000,  8.934097829375347E+07,  6.581821205423570E+08,  2.719931319839170E+08,  1.46870723E+02,  5.16879979E+01,  6.89540043E+01,
2382456.500000000, A.D. 1810-Nov-05 00:00:00.0000,  1.652433515635167E+07,  6.613462828201684E+08,  2.757973402705327E+08,  1.46020098E+02,  4.58156496E+01,  6.97173891E+01,
2382516.500000000, A.D. 1811-Jan-04 00:00:00.0000, -5.643183086418948E+07,  6.581040833761274E+08,  2.769297178988678E+08,  1.43836666E+02,  4.29858289E+01,  7.07514915E+01,
2382576.500000000, A.D. 1811-Mar-05 00:00:00.0000, -1.288202432540056E+08,  6.484755452954710E+08,  2.753744820745022E+08,  1.40390666E+02,  4.34709552E+01,  7.19589196E+01,
2382636.500000000, A.D. 1811-May-04 00:00:00.0000, -1.999390576966262E+08,  6.325559261037829E+08,  2.711474669393781E+08,  1.35774869E+02,  4.67518820E+01,  7.32399688E+01,
2382696.500000000, A.D. 1811-Jul-03 00:00:00.0000, -2.691029838210534E+08,  6.105140866935784E+08,  2.642958232261799E+08,  1.30101337E+02,  5.18544967E+01,  7.45002361E+01,
