            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000,  5.879614941790096E+08,  4.831969172691908E+08,  2.225689241588400E+08,  2.56157257E+02,  1.87811763E+02,  1.45424712E+02,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000,  5.441142442254207E+08,  5.257396446160589E+08,  2.488810942620031E+08,  2.79931945E+02,  1.71820155E+02,  1.41561426E+02,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000,  4.964269162808372E+08,  5.645741351881655E+08,  2.734376548360280E+08,  3.02681552E+02,  1.54862656E+02,  1.37934564E+02,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000,  4.452817045886635E+08,  5.994780197513157E+08,  2.960903279085690E+08,  3.24187775E+02,  1.37296093E+02,  1.34693218E+02,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000,  3.910736821980607E+08,  6.302602213875414E+08,  3.167070249810639E+08,  3.44247116E+02,  1.19716509E+02,  1.32007219E+02,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000,  3.342078145950872E+08,  6.567605084600286E+08,  3.351718120799091E+08,  3.62666042E+02,  1.03158027E+02,  1.30063490E+02,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000,  2.750962191387905E+08,  6.788488931349285E+08,  3.513847725452012E+08,  3.79258872E+02,  8.94163868E+01,  1.29057193E+02,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000,  2.141556746653404E+08,  6.964249241828340E+08,  3.652617951297813E+08,  3.93847245E+02,  8.12851032E+01,  1.29177296E+02,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000,  1.518053629975973E+08,  7.094168970613425E+08,  3.767343009519374E+08,  4.06260498E+02,  8.17515987E+01,  1.30588042E+02,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000,  8.846482132513618E+07,  7.177810177458955E+08,  3.857489297737571E+08,  4.16336568E+02,  9.17309015E+01,  1.33409985E+02,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000,  2.455208852584415E+07,  7.215005506565595E+08,  3.922672042728685E+08,  4.23923195E+02,  1.09410288E+02,  1.37705554E+02,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -3.951797155686162E+07,  7.205849672661080E+08,  3.962651827138349E+08,  4.28879268E+02,  1.32260419E+02,  1.43473159E+02,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -1.033352006727576E+08,  7.150691075897191E+08,  3.977331080069317E+08,  4.31076264E+02,  1.58390325E+02,  1.50650847E+02,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -1.664955517998399E+08,  7.050123741763791E+08,  3.966750658308002E+08,  4.30399762E+02,  1.86600000E+02,  1.59127197E+02,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -2.286023918815004E+08,  6.904979663691989E+08,  3.931086581163330E+08,  4.26751049E+02,  2.16117339E+02,  1.68755363E+02,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -2.892677219649833E+08,  6.716321520819001E+08,  3.870646906834653E+08,  4.20048885E+02,  2.46402715E+02,  1.79366510E+02,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -3.481133475400933E+08,  6.485435841496677E+08,  3.785868817672465E+08,  4.10231533E+02,  2.77040104E+02,  1.90780456E+02,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -4.047720109185999E+08,  6.213826643488038E+08,  3.677315944056479E+08,  3.97259254E+02,  3.07679666E+02,  2.02812908E+02,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -4.588885092611412E+08,  5.903209432016616E+08,  3.545675871266037E+08,  3.81117540E+02,  3.38007246E+02,  2.15279731E+02,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -5.101208173367213E+08,  5.555505515008751E+08,  3.391757820436741E+08,  3.61821620E+02,  3.67727811E+02,  2.27999035E+02,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -5.581412397656178E+08,  5.172836582873133E+08,  3.216490501681741E+08,  3.39423164E+02,  3.96556318E+02,  2.40791900E+02,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -6.026375969412788E+08,  4.757519452657648E+08,  3.020920078801481E+08,  3.14020987E+02,  4.24212684E+02,  2.53482348E+02,
