            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -7.712825300732253E+08,  1.242693862753937E+08,  4.728040435879315E+07,  4.21982395E+03,  1.52603092E+04,  8.74200151E+03,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.825485601427826E+08,  6.729591748920125E+07,  1.455008045562619E+07,  2.64246360E+03,  1.54168136E+04,  8.78798671E+03,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.880707810109812E+08,  9.827021111437257E+06, -1.828793486326881E+07,  1.07495931E+03,  1.54582768E+04,  8.76914485E+03,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.878692213879998E+08, -4.771491009166161E+07, -5.099413496764120E+07,  5.14466176E+02,  1.53874250E+04,  8.68728630E+03,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.820015948512890E+08, -1.049155398490049E+08, -8.333473787428215E+07,  2.03201713E+03,  1.52074355E+04,  8.54445697E+03,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.705614480116395E+08, -1.613705872050773E+08, -1.150827659184456E+08,  3.53009128E+03,  1.49218523E+04,  8.34289126E+03,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.536763039299438E+08, -2.166875999641033E+08, -1.460189969380833E+08,  4.98825015E+03,  1.45345137E+04,  8.08497256E+03,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.315058294703959E+08, -2.704875287856893E+08, -1.759328028449554E+08,  6.39805346E+03,  1.40494929E+04,  7.77320105E+03,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -7.042400470283856E+08, -3.224061236277133E+08, -2.046228895450517E+08,  7.75226631E+03,  1.34710509E+04,  7.41016910E+03,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -6.720975894702196E+08, -3.720951852439312E+08, -2.318979546147521E+08,  9.04424979E+03,  1.28036014E+04,  6.99854323E+03,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -6.353240261538850E+08, -4.192237014773612E+08, -2.575772822803022E+08,  1.02678101E+04,  1.20516876E+04,  6.54105322E+03,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -5.941902516614726E+08, -4.634788852837747E+08, -2.814912846507021E+08,  1.14171220E+04,  1.12199689E+04,  6.04048761E+03,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -5.489909353363038E+08, -5.045671410340382E+08, -3.034820039564704E+08,  1.24866735E+04,  1.03132195E+04,  5.49969580E+03,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -5.000430218546904E+08, -5.422149828907264E+08, -3.234035884244121E+08,  1.34712213E+04,  9.33633481E+03,  4.92159689E+03,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -4.476842873905029E+08, -5.761699269739513E+08, -3.411227560845425E+08,  1.43657554E+04,  8.29434903E+03,  4.30919752E+03,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -3.922719244434834E+08, -6.062013624486908E+08, -3.565192467806574E+08,  1.51654700E+04,  7.19246305E+03,  3.66562400E+03,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -3.341811435348943E+08, -6.321014280827905E+08, -3.694862777082924E+08,  1.58657444E+04,  6.03608777E+03,  2.99418567E+03,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -2.738037774068102E+08, -6.536859024040947E+08, -3.799310070504797E+08,  1.64621328E+04,  4.83091975E+03,  2.29853233E+03,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -2.115468688392536E+08, -6.707951142758834E+08, -3.877750088391885E+08,  1.69503643E+04,  3.58311843E+03,  1.58320468E+03,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -1.478312120253962E+08, -6.832948767175249E+08, -3.929547590076628E+08,  1.73263525E+04,  2.29997497E+03,  8.56950608E+02,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000, -8.308983043539539E+07, -6.910774569244355E+08, -3.954221407269489E+08,  1.75862187E+04,  9.95660054E+02,  2.17951722E+02,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000, -1.776636836726761E+07, -6.940625737139978E+08, -3.951449627243617E+08,  1.77263248E+04,  4.26814210E+02,  7.11053951E+02,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000,  4.768663345364397E+07, -6.921984146697131E+08, -3.921074845200347E+08,  1.77433202E+04,  1.74122490E+03,  1.46446292E+03,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000,  1.128096080068937E+08, -6.854626711035981E+08, -3.863109479643017E+08,  1.76342007E+04,  3.10352919E+03,  2.23038051E+03,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000,  1.771379938979691E+08, -6.738635791084439E+08, -3.777741075297493E+08,  1.73963809E+04,  4.47075752E+03,  2.99617203E+03,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000,  2.402044600322773E+08, -6.574409372359358E+08, -3.665337408427794E+08,  1.70277785E+04,  5.83191530E+03,  3.75544137E+03,
2380176.500000000, A.D. 1804-Aug-08 00:00:00.0000,  3.015413480363186E+08, -6.362670841876323E+08, -3.526451299542878E+08,  1.65269114E+04,  7.17740058E+03,  4.50255832E+03,
2380236.500000000, A.D. 1804-Oct-07 00:00:00.0000,  3.606833557950539E+08, -6.104478107030176E+08, -3.361824987697386E+08,  1.58930054E+04,  8.49751074E+03,  5.23192053E+03,
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000,  4.171704679139141E+08, -5.801231680641367E+08, -3.172393832595142E+08,  1.51261126E+04,  9.78219492E+03,  5.93778592E+03,
2380356.500000000, A.D. 1805-Feb-04 00:00:00.0000,  4.705511570842783E+08, -5.454681233880842E+08, -2.959289065162558E+08,  1.42272358E+04,  1.10210160E+04,  6.61423705E+03,
2380416.500000000, A.D. 1805-Apr-05 00:00:00.0000,  5.203858598189665E+08, -5.066930321891626E+08, -2.723839421069904E+08,  1.31984593E+04,  1.22031796E+04,  7.25519274E+03,
2380476.500000000, A.D. 1805-Jun-04 00:00:00.0000,  5.662507188850292E+08, -4.640438671840593E+08, -2.467571305944436E+08,  1.20430799E+04,  1.33176008E+04,  7.85444517E+03,
2380536.500000000, A.D. 1805-Aug-03 00:00:00.0000,  6.077415776175638E+08, -4.178021489575251E+08, -2.192207184525152E+08,  1.07657365E+04,  1.43530006E+04,  8.40571600E+03,
2380596.500000000, A.D. 1805-Oct-02 00:00:00.0000,  6.444782086335030E+08, -3.682845174397797E+08, -1.899661867094515E+08,  9.37253194E+03,  1.52980310E+04,  8.90272956E+03,
2380656.500000000, A.D. 1805-Dec-01 00:00:00.0000,  6.761087345214642E+08, -3.158418980883307E+08, -1.592036429688117E+08,  7.87114884E+03,  1.61414277E+04,  9.33930170E+03,
