            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -7.324790870852765E+08,  1.594845480653825E+08,  1.645308110225180E+08,  9.80655637E+02,  2.45417032E+03,  1.07489909E+03,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -7.502524040288574E+08,  9.847833978823112E+07,  1.376165406156915E+08,  7.81638133E+02,  2.48837580E+03,  1.11044026E+03,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -7.621579917960792E+08,  3.670002737728050E+07,  1.096254238551339E+08,  5.85793412E+02,  2.50262387E+03,  1.13689802E+03,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.681436017790247E+08, -2.536560529609300E+07,  8.078212702889578E+07,  4.01544180E+02,  2.49730930E+03,  1.15414767E+03,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.682067798339977E+08, -8.723827722802909E+07,  5.131518398259526E+07,  2.52716975E+02,  2.47313978E+03,  1.16223520E+03,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.623934817787385E+08, -1.484465806263700E+08,  2.145474661358390E+07,  2.13860644E+02,  2.43111202E+03,  1.16136961E+03,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.507962044604599E+08, -2.085320211099564E+08, -8.569565281212192E+06,  3.13303495E+02,  2.37248145E+03,  1.15191229E+03,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.335516874298217E+08, -2.670526859772955E+08, -3.853068951715622E+07,  4.58028574E+02,  2.29872686E+03,  1.13436350E+03,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.108382664975301E+08, -3.235865208468798E+08, -6.820600246907221E+07,  6.06191459E+02,  2.21151149E+03,  1.10934667E+03,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -6.828729546690140E+08, -3.777342003027632E+08, -9.737903889307703E+07,  7.46381679E+02,  2.11264207E+03,  1.07759090E+03,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -6.499083253964542E+08, -4.291215849066613E+08, -1.258410389347676E+08,  8.74320723E+02,  2.00402727E+03,  1.03991246E+03,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -6.122292466715806E+08, -4.774017715761139E+08, -1.533923199224562E+08,  9.87919399E+02,  1.88763691E+03,  9.97195584E+02,
