            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2380416.500000000, A.D. 1805-Apr-05 00:00:00.0000, -7.541489298548363E+08,  1.003851365054081E+08,  7.973552375853835E+07,  6.94448622E+01,  2.22748604E+02,  1.05816286E+02,
2380476.500000000, A.D. 1805-Jun-04 00:00:00.0000, -7.607350531859832E+08,  3.430714555310652E+07,  6.296323847455353E+07,  6.18078672E+01,  2.23397777E+02,  1.03774716E+02,
2380536.500000000, A.D. 1805-Aug-03 00:00:00.0000, -7.612560489243497E+08, -3.204021206784319E+07,  4.569079173267923E+07,  5.85224365E+01,  2.22376996E+02,  1.01338285E+02,
2380596.500000000, A.D. 1805-Oct-02 00:00:00.0000, -7.556895855188049E+08, -9.812751494074127E+07,  2.805469396857456E+07,  6.02633965E+01,  2.19706460E+02,  9.85546684E+01,
2380656.500000000, A.D. 1805-Dec-01 00:00:00.0000, -7.440633665590574E+08, -1.634243730781093E+08,  1.019525079862050E+07,  6.63988985E+01,  2.15431513E+02,  9.54848104E+01,
2380716.500000000, A.D. 1806-Jan-30 00:00:00.0000, -7.264554408962077E+08, -2.274040678381691E+08, -7.744622878601680E+06,  7.54971616E+01,  2.09621587E+02,  9.22039170E+01,
2380776.500000000, A.D. 1806-Mar-31 00:00:00.0000, -7.029940170417939E+08, -2.895482512927630E+08, -2.562063938293777E+07,  8.61804706E+01,  2.02368787E+02,  8.88022297E+01,
2380836.500000000, A.D. 1806-May-30 00:00:00.0000, -6.738567645901184E+08, -3.493516514706401E+08, -4.328841304227595E+07,  9.74488898E+01,  1.93786202E+02,  8.53852680E+01,
2380896.500000000, A.D. 1806-Jul-29 00:00:00.0000, -6.392696119290018E+08, -4.063267227885818E+08, -6.060475514732216E+07,  1.08635700E+02,  1.84006069E+02,  8.20730329E+01,
2380956.500000000, A.D. 1806-Sep-27 00:00:00.0000, -5.995050187455418E+08, -4.600081706171399E+08, -7.742897492133963E+07,  1.19296710E+02,  1.73177942E+02,  7.89973941E+01,
2381016.500000000, A.D. 1806-Nov-26 00:00:00.0000, -5.548797504448211E+08, -5.099573041799252E+08, -9.362417249159043E+07,  1.29128773E+02,  1.61467077E+02,  7.62967040E+01,
2381076.500000000, A.D. 1807-Jan-25 00:00:00.0000, -5.057521756268121E+08, -5.557661484751703E+08, -1.090585030884686E+08,  1.37920941E+02,  1.49053368E+02,  7.41067946E+01,
2381136.500000000, A.D. 1807-Mar-26 00:00:00.0000, -4.525191155475428E+08, -5.970612572329806E+08, -1.236063957530023E+08,  1.45526404E+02,  1.36131300E+02,  7.25482787E+01,
2381196.500000000, A.D. 1807-May-25 00:00:00.0000, -3.956122727170870E+08, -6.335071709635497E+08, -1.371497111780319E+08,  1.51846114E+02,  1.22911652E+02,  7.17116592E+01,
2381256.500000000, A.D. 1807-Jul-24 00:00:00.0000, -3.354942958253654E+08, -6.648094880318255E+08, -1.495788235688517E+08,  1.56818750E+02,  1.09626164E+02,  7.16436742E+01,
2381316.500000000, A.D. 1807-Sep-22 00:00:00.0000, -2.726545310675367E+08, -6.907174965520072E+08, -1.607936097784679E+08,  1.60414129E+02,  9.65371355E+01,  7.23392370E+01,
2381376.500000000, A.D. 1807-Nov-21 00:00:00.0000, -2.076045091333058E+08, -7.110263355775665E+08, -1.707043352164679E+08,  1.62628509E+02,  8.39550486E+01,  7.37420209E+01,
2381436.500000000, A.D. 1808-Jan-20 00:00:00.0000, -1.408732282653390E+08, -7.255786704571358E+08, -1.792324269909455E+08,  1.63480933E+02,  7.22680581E+01,  7.57534942E+01,
2381496.500000000, A.D. 1808-Mar-20 00:00:00.0000, -7.300230551596540E+07, -7.342658703704081E+08, -1.863111253618451E+08,  1.63010180E+02,  6.19837492E+01,  7.82470708E+01,
2381556.500000000, A.D. 1808-May-19 00:00:00.0000, -4.541050650965074E+06, -7.370286697833695E+08, -1.918860067904218E+08,  1.61272079E+02,  5.37621155E+01,  8.10829909E+01,
2381616.500000000, A.D. 1808-Jul-18 00:00:00.0000,  6.395847383090524E+07, -7.338573276364886E+08, -1.959153762579768E+08,  1.58337052E+02,  4.83555836E+01,  8.41206698E+01,
2381676.500000000, A.D. 1808-Sep-16 00:00:00.0000,  1.319463463772141E+08, -7.247912963713003E+08, -1.983705276600136E+08,  1.54287851E+02,  4.63181058E+01,  8.72272203E+01,
2381736.500000000, A.D. 1808-Nov-15 00:00:00.0000,  1.988795675007142E+08, -7.099184154901639E+08, -1.992358726960252E+08,  1.49217475E+02,  4.75768880E+01,  9.02823775E+01,
2381796.500000000, A.D. 1809-Jan-14 00:00:00.0000,  2.642266889560365E+08, -6.893736439259106E+08, -1.985089391972966E+08,  1.43227300E+02,  5.13798610E+01,  9.31807481E+01,
2381856.500000000, A.D. 1809-Mar-15 00:00:00.0000,  3.274722384597746E+08, -6.633373841051158E+08, -1.962002468573843E+08,  1.36425508E+02,  5.67398481E+01,  9.58323756E+01,
2381916.500000000, A.D. 1809-May-14 00:00:00.0000,  3.881208941762117E+08, -6.320334165578959E+08, -1.923330645299844E+08,  1.28925956E+02,  6.28311717E+01,  9.81623889E+01,
2381976.500000000, A.D. 1809-Jul-13 00:00:00.0000,  4.457013751464075E+08, -5.957264867949884E+08, -1.869430567074334E+08,  1.20847719E+02,  6.90893923E+01,  1.00110238E+02,
2382036.500000000, A.D. 1809-Sep-11 00:00:00.0000,  4.997700244948259E+08, -5.547195824810505E+08, -1.800778266168915E+08,  1.12315703E+02,  7.51606098E+01,  1.01628810E+02,
2382096.500000000, A.D. 1809-Nov-10 00:00:00.0000,  5.499140609702840E+08, -5.093509583922530E+08, -1.717963696225418E+08,  1.03462962E+02,  8.08318139E+01,  1.02683571E+02,
2382156.500000000, A.D. 1810-Jan-09 00:00:00.0000,  5.957544724775209E+08, -4.599909312420315E+08, -1.621684425684140E+08,  9.44357724E+01,  8.59797575E+01,  1.03251801E+02,
2382216.500000000, A.D. 1810-Mar-10 00:00:00.0000,  6.369485552120292E+08, -4.070384961743717E+08, -1.512738601975138E+08,  8.54031294E+01,  9.05382556E+01,  1.03321938E+02,
