            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -6.888988376863071E+08,  3.581540588256873E+08,  9.883049345178165E+07,  2.26628222E+02,  3.55666495E+02,  1.98608546E+02,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.194594161064979E+08,  3.039959029406611E+08,  7.480765479568136E+07,  1.92288260E+02,  3.71555464E+02,  1.99873596E+02,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.447211284783953E+08,  2.476029583320956E+08,  5.023560458049457E+07,  1.57809611E+02,  3.84789960E+02,  2.00090169E+02,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.645356408525476E+08,  1.894027968156929E+08,  2.529772935213189E+07,  1.24354253E+02,  3.95316697E+02,  1.99274581E+02,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.787932987795104E+08,  1.298295661848964E+08,  1.774747345534432E+05,  9.43742461E+01,  4.03095805E+02,  1.97453118E+02,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.874227235722059E+08,  6.932136157427634E+07, -2.494269261581041E+07,  7.35967405E+01,  4.08098103E+02,  1.94661038E+02,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.903902847073076E+08,  8.317734877920138E+06, -4.988225931364542E+07,  7.14980996E+01,  4.10303040E+02,  1.90942104E+02,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.876994746684161E+08, -5.274266536470746E+07, -7.446358041513081E+07,  8.96875505E+01,  4.09697263E+02,  1.86348718E+02,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -7.793901995870277E+08, -1.134243318359147E+08, -9.851273915851781E+07,  1.19146331E+02,  4.06273802E+02,  1.80942743E+02,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -7.655380024335231E+08, -1.732970390418783E+08, -1.218603626207149E+08,  1.53247319E+02,  4.00031856E+02,  1.74797173E+02,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -7.462532451112986E+08, -2.319378922854496E+08, -1.443423979117585E+08,  1.89104949E+02,  3.90977199E+02,  1.67998836E+02,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -7.216802425883194E+08, -2.889333022129070E+08, -1.658008545337857E+08,  2.25405606E+02,  3.79123203E+02,  1.60652401E+02,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -6.919963570801797E+08, -3.438809018813422E+08, -1.860845206752799E+08,  2.61427863E+02,  3.64492511E+02,  1.52886014E+02,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -6.574110536664656E+08, -3.963914273278555E+08, -2.050496623799465E+08,  2.96692181E+02,  3.47119432E+02,  1.44858887E+02,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -6.181649228087442E+08, -4.460905681572848E+08, -2.225607081604784E+08,  3.30827186E+02,  3.27053286E+02,  1.36771060E+02,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -5.745286429471953E+08, -4.926208022852374E+08, -2.384909228254842E+08,  3.63513216E+02,  3.04363037E+02,  1.28874920E+02,
