            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -7.539832700733858E+08,  1.865825206277682E+08,  1.504576479113394E+07,  6.56725441E+01,  2.68426453E+02,  1.48702437E+02,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -7.668644058351936E+08,  1.271233641644350E+08, -1.483570033928684E+07,  6.18401406E+01,  2.78440356E+02,  1.49142079E+02,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -7.739383678778595E+08,  6.669987183522220E+07, -4.460591763612720E+07,  7.08496869E+01,  2.86723325E+02,  1.49449784E+02,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.751653015097799E+08,  5.770509581437496E+06, -7.404041855094470E+07,  8.97394103E+01,  2.93114330E+02,  1.49572696E+02,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.705498169253079E+08, -5.520459745391798E+07, -1.029183413556711E+08,  1.14227542E+02,  2.97458807E+02,  1.49459563E+02,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.601405317329098E+08, -1.157671855934112E+08, -1.310240784586233E+08,  1.41727459E+02,  2.99613096E+02,  1.49066298E+02,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.440292919991874E+08, -1.754642922621306E+08, -1.581488538883282E+08,  1.70884348E+02,  2.99449271E+02,  1.48361660E+02,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.223500743837125E+08, -2.338515885283931E+08, -1.840922170363530E+08,  2.00909245E+02,  2.96860144E+02,  1.47332781E+02,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -6.952775951788472E+08, -2.904965883678024E+08, -2.086634480881239E+08,  2.31258740E+02,  2.91764351E+02,  1.45990324E+02,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -6.630256495258858E+08, -3.449817143965008E+08, -2.316828678807972E+08,  2.61498894E+02,  2.84111502E+02,  1.44373053E+02,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -6.258452073803996E+08, -3.969071986001872E+08, -2.529830448576182E+08,  2.91246727E+02,  2.73887585E+02,  1.42551514E+02,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -5.840222700538157E+08, -4.458938038209835E+08, -2.724098908109948E+08,  3.20144815E+02,  2.61121010E+02,  1.40630368E+02,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -5.378755287622169E+08, -4.915853635808792E+08, -2.898236507322515E+08,  3.47850885E+02,  2.45890181E+02,  1.38748649E+02,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -4.877538413714052E+08, -5.336511194105378E+08, -3.050997769995136E+08,  3.74034636E+02,  2.28334313E+02,  1.37076937E+02,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -4.340335469467812E+08, -5.717878509760722E+08, -3.181296877121826E+08,  3.98378229E+02,  2.08670922E+02,  1.35810254E+02,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -3.771156338950638E+08, -6.057217926280779E+08, -3.288214074992926E+08,  4.20578651E+02,  1.87227142E+02,  1.35155644E+02,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -3.174227952666163E+08, -6.352103409813446E+08, -3.371000976586309E+08,  4.40351018E+02,  1.64500339E+02,  1.35314362E+02,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -2.553963831057374E+08, -6.600435335648962E+08, -3.429084651957175E+08,  4.57432239E+02,  1.41282193E+02,  1.36460226E+02,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -1.914932762283596E+08, -6.800453079362518E+08, -3.462070580909201E+08,  4.71584718E+02,  1.18918079E+02,  1.38717857E+02,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -1.261826855880800E+08, -6.950745394693912E+08, -3.469744481469052E+08,  4.82599881E+02,  9.98040116E+01,  1.42145797E+02,
