            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000,  6.087974266851567E+08,  4.835807578286395E+08,  7.979842923494627E+07,  1.05336727E+02,  1.15755864E+02,  6.35147625E+01,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000,  5.651519697757870E+08,  5.317246870816235E+08,  9.639420533597597E+07,  1.13870268E+02,  1.09859800E+02,  6.24279544E+01,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000,  5.172927599833579E+08,  5.759026505812986E+08,  1.122713305393077E+08,  1.21956447E+02,  1.03448105E+02,  6.19929520E+01,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000,  4.655813643712049E+08,  6.157900572414347E+08,  1.273123124850426E+08,  1.29471150E+02,  9.66586796E+01,  6.22376588E+01,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000,  4.104061057040437E+08,  6.510936120968190E+08,  1.414058708191489E+08,  1.36306908E+02,  8.96686775E+01,  6.31490010E+01,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000,  3.521794441348521E+08,  6.815531163658630E+08,  1.544476395290646E+08,  1.42370479E+02,  8.27064021E+01,  6.46752299E+01,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000,  2.913352414225180E+08,  7.069430843887912E+08,  1.663408302039349E+08,  1.47581677E+02,  7.60654244E+01,  6.67340152E+01,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000,  2.283259288152692E+08,  7.270741832380006E+08,  1.769968538524257E+08,  1.51872978E+02,  7.01163173E+01,  6.92234746E+01,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000,  1.636195782717453E+08,  7.417944762367913E+08,  1.863358989405436E+08,  1.55189575E+02,  6.53028105E+01,  7.20329882E+01,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000,  9.769688011309652E+07,  7.509904742053823E+08,  1.942874656080931E+08,  1.57489682E+02,  6.20977816E+01,  7.50517448E+01,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000,  3.104803717230047E+07,  7.545879956329141E+08,  2.007908546002404E+08,  1.58744938E+02,  6.08980308E+01,  7.81743908E+01,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -3.583041257934719E+07,  7.525528238368052E+08,  2.057956074944742E+08,  1.58940838E+02,  6.18850339E+01,  8.13041382E+01,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -1.024388467509597E+08,  7.448911492421340E+08,  2.092618956881355E+08,  1.58077107E+02,  6.49465414E+01,  8.43540667E+01,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -1.682778714394553E+08,  7.316497983041309E+08,  2.111608562700863E+08,  1.56168030E+02,  6.97295154E+01,  8.72473443E+01,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -2.328516854194743E+08,  7.129162400250753E+08,  2.114748721455082E+08,  1.53242720E+02,  7.57746583E+01,  8.99169069E+01,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -2.956714805516768E+08,  6.888183487133642E+08,  2.101977907108743E+08,  1.49345384E+02,  8.26323151E+01,  9.23049385E+01,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -3.562588784516284E+08,  6.595239205625020E+08,  2.073350781390904E+08,  1.44535678E+02,  8.99179873E+01,  9.43623468E+01,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -4.141493762408167E+08,  6.252399397578385E+08,  2.029039070723101E+08,  1.38889292E+02,  9.73227087E+01,  9.60483290E+01,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -4.688957870875838E+08,  5.862115720178233E+08,  1.969331710816771E+08,  1.32498996E+02,  1.04603860E+02,  9.73300557E+01,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -5.200716542606112E+08,  5.427208791434566E+08,  1.894634216822153E+08,  1.25476458E+02,  1.11571680E+02,  9.81824784E+01,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -5.672746247508850E+08,  4.950852501119343E+08,  1.805467245735464E+08,  1.17955276E+02,  1.18077294E+02,  9.85882480E+01,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -6.101297416802180E+08,  4.436555450473217E+08,  1.702464333773092E+08,  1.10095831E+02,  1.24003512E+02,  9.85377269E+01,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000, -6.482926318347541E+08,  3.888139314145119E+08,  1.586368714499630E+08,  1.02092595E+02,  1.29258060E+02,  9.80290783E+01,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000, -6.814525624134004E+08,  3.309714264036016E+08,  1.458029234213559E+08,  9.41843771E+01,  1.33768606E+02,  9.70684252E+01,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000, -7.093353285448470E+08,  2.705651426327012E+08,  1.318395332884822E+08,  8.66668973E+01,  1.37479036E+02,  9.56700751E+01,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000, -7.317059285776262E+08,  2.080552423099782E+08,  1.168511072155403E+08,  7.99038588E+01,  1.40346572E+02,  9.38568129E+01,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000, -7.483709979076436E+08,  1.439216049582653E+08,  1.009508183869575E+08,  7.43257243E+01,  1.42339521E+02,  9.16602739E+01,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000, -7.591809653306396E+08,  7.866023516252805E+07,  8.425982020608598E+07,  7.03957634E+01,  1.43435517E+02,  8.91214148E+01,
