

*******************************************************************************
Ephemeris / WWW_USER Fri May 20 08:54:25 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 1437 Diomedes (1937 PB)         {source: JPL#83}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jul-19 00:00:00.0000 TDB
Step-size       : 86400 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-D
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : ICRF
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457851.5 ! 2017-Apr-08.00 (TDB)         Residual RMS= .19159        
   EC= .04381234924980067  QR= 4.968527435671341   TP= 2459715.5734457956      
   OM= 315.7942054904342   W=  131.4201529625925   IN= 20.48985231034805       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.959923653667065E+00  Y=-4.232773987149720E+00  Z=-2.729370217438123E+00
  VX= 6.472826702197107E-03 VY= 1.204194175887729E-03 VZ= 3.035307054684252E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 58.893             ROTPER= 24.49               
   H= 8.27                 G= .150                 B-V= .700                   
                           ALBEDO= .061            STYP= DP                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2380536.500000000, A.D. 1805-Aug-03 00:00:00.0000,  4.890620698313237E+08, -5.439725919770665E+08, -2.816550449027984E+08,
2380596.500000000, A.D. 1805-Oct-02 00:00:00.0000,  5.350409899615400E+08, -5.148801466119128E+08, -2.436015861663788E+08,
2380656.500000000, A.D. 1805-Dec-01 00:00:00.0000,  5.770276733122463E+08, -4.819401047019492E+08, -2.037283308696662E+08,
2380716.500000000, A.D. 1806-Jan-30 00:00:00.0000,  6.146654356953430E+08, -4.453624749054167E+08, -1.623178832836221E+08,
2380776.500000000, A.D. 1806-Mar-31 00:00:00.0000,  6.476208606376382E+08, -4.053872727868423E+08, -1.196695559067478E+08,
2380836.500000000, A.D. 1806-May-30 00:00:00.0000,  6.755869875354625E+08, -3.622843331967389E+08, -7.609820258937599E+07,
2380896.500000000, A.D. 1806-Jul-29 00:00:00.0000,  6.982866406596123E+08, -3.163528900125728E+08, -3.193281739043560E+07,
2380956.500000000, A.D. 1806-Sep-27 00:00:00.0000,  7.154758827869843E+08, -2.679208722564823E+08,  1.248513181884953E+07,
2381016.500000000, A.D. 1806-Nov-26 00:00:00.0000,  7.269475561043814E+08, -2.173438780393265E+08,  5.680365919620916E+07,
2381076.500000000, A.D. 1807-Jan-25 00:00:00.0000,  7.325348503173180E+08, -1.650037739637468E+08,  1.006625291246653E+08,
2381136.500000000, A.D. 1807-Mar-26 00:00:00.0000,  7.321148307497594E+08, -1.113068645667465E+08,  1.436958550217736E+08,
2381196.500000000, A.D. 1807-May-25 00:00:00.0000,  7.256118631638539E+08, -5.668159514916193E+07,  1.855350418719216E+08,
2381256.500000000, A.D. 1807-Jul-24 00:00:00.0000,  7.130008274501437E+08, -1.575754324641953E+06,  2.258120655771245E+08,
2381316.500000000, A.D. 1807-Sep-22 00:00:00.0000,  6.943100169822448E+08,  5.354685878448497E+07,  2.641630802041772E+08,
2381376.500000000, A.D. 1807-Nov-21 00:00:00.0000,  6.696236093684745E+08,  1.082103135119905E+08,  3.002323261954727E+08,
2381436.500000000, A.D. 1808-Jan-20 00:00:00.0000,  6.390835942747787E+08,  1.619309654991716E+08,  3.336763014993479E+08,
2381496.500000000, A.D. 1808-Mar-20 00:00:00.0000,  6.028910149103901E+08,  2.142223856860533E+08,  3.641681205279583E+08,
2381556.500000000, A.D. 1808-May-19 00:00:00.0000,  5.613064106117938E+08,  2.646007646812910E+08,  3.914019981734242E+08,
2381616.500000000, A.D. 1808-Jul-18 00:00:00.0000,  5.146493526674909E+08,  3.125907053031721E+08,  4.150977584736197E+08,
2381676.500000000, A.D. 1808-Sep-16 00:00:00.0000,  4.632969727583560E+08,  3.577313072079040E+08,  4.350052554670555E+08,
2381736.500000000, A.D. 1808-Nov-15 00:00:00.0000,  4.076814113769385E+08,  3.995824172632440E+08,  4.509085782863860E+08,
2381796.500000000, A.D. 1809-Jan-14 00:00:00.0000,  3.482861558625172E+08,  4.377309062509196E+08,  4.626299256204340E+08,
2381856.500000000, A.D. 1809-Mar-15 00:00:00.0000,  2.856412784123272E+08,  4.717967962335999E+08,  4.700330096389939E+08,
2381916.500000000, A.D. 1809-May-14 00:00:00.0000,  2.203176084191699E+08,  5.014390684151273E+08,  4.730258598178698E+08,
2381976.500000000, A.D. 1809-Jul-13 00:00:00.0000,  1.529199379036065E+08,  5.263609783980471E+08,  4.715629237707491E+08,
2382036.500000000, A.D. 1809-Sep-11 00:00:00.0000,  8.407940253532527E+07,  5.463147110999855E+08,  4.656463770120011E+08,
2382096.500000000, A.D. 1809-Nov-10 00:00:00.0000,  1.444521359892569E+07,  5.611052168082600E+08,  4.553265644455643E+08,
2382156.500000000, A.D. 1810-Jan-09 00:00:00.0000, -5.532405621663549E+07,  5.705931106128950E+08,  4.407015490967410E+08,
2382216.500000000, A.D. 1810-Mar-10 00:00:00.0000, -1.245693956359807E+08,  5.746965464085486E+08,  4.219157723839857E+08,
2382276.500000000, A.D. 1810-May-09 00:00:00.0000, -1.926402401741865E+08,  5.733920151870971E+08,  3.991578610177571E+08,
2382336.500000000, A.D. 1810-Jul-08 00:00:00.0000, -2.589030881967282E+08,  5.667140477018789E+08,  3.726576379151882E+08,
2382396.500000000, A.D. 1810-Sep-06 00:00:00.0000, -3.227496302500807E+08,  5.547538729479444E+08,  3.426824552234519E+08,
2382456.500000000, A.D. 1810-Nov-05 00:00:00.0000, -3.836041809838510E+08,  5.376570965094568E+08,  3.095329586812053E+08,
