            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -6.644272006911042E+08,  3.470791802561932E+08,  1.280582691659775E+08,  9.58595986E+02,  1.77195728E+03,  5.58410708E+02,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -6.923518964935373E+08,  2.864376579485852E+08,  1.102088083212919E+08,  7.61454091E+02,  1.85190885E+03,  5.82236820E+02,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.146069130695345E+08,  2.234566806190126E+08,  9.145930518101148E+07,  5.58085803E+02,  1.91775239E+03,  6.02862769E+02,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.309401795085518E+08,  1.586295174722175E+08,  7.195409649041969E+07,  3.53074165E+02,  1.96879272E+03,  6.19987609E+02,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.411471900966018E+08,  9.247771113509540E+07,  5.184774159486002E+07,  1.70723823E+02,  2.00432225E+03,  6.33329950E+02,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.450753202790391E+08,  2.554667169650469E+07,  3.130379978295287E+07,  1.82597546E+02,  2.02361767E+03,  6.42619607E+02,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.426276881344280E+08, -4.159942757736947E+07,  1.049337690097797E+07,  3.79609642E+02,  2.02594215E+03,  6.47593445E+02,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.337664210449755E+08, -1.083834064544270E+08, -1.040654787610497E+07,  6.05307750E+02,  2.01055417E+03,  6.47995277E+02,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -7.185151800052751E+08, -1.742214051504436E+08, -3.121499452073637E+07,  8.38407130E+02,  1.97672321E+03,  6.43579868E+02,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -6.969608116122884E+08, -2.385296931715331E+08, -5.174903207929129E+07,  1.07411191E+03,  1.92375248E+03,  6.34121301E+02,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -6.692540382827698E+08, -3.007318180932627E+08, -7.182596327006802E+07,  1.30984162E+03,  1.85100852E+03,  6.19426153E+02,
