            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -7.022177147180444E+08,  2.137488144277298E+08,  1.648906367205441E+08,  6.52086140E+01,  9.40514597E+01,  8.11057863E+01,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -7.270587148368064E+08,  1.533277628217369E+08,  1.405591390819692E+08,  6.50585471E+01,  9.77098785E+01,  7.95113615E+01,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -7.459195020325426E+08,  9.164351977144948E+07,  1.150708360540051E+08,  6.69347547E+01,  1.01222414E+02,  7.85668281E+01,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.587423128696438E+08,  2.921511056503754E+07,  8.865028458120327E+07,  7.09781228E+01,  1.04492289E+02,  7.83517905E+01,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.655229951798637E+08, -3.344858192626146E+07,  6.152288465152626E+07,  7.71362770E+01,  1.07407443E+02,  7.88943876E+01,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.663077518286356E+08, -9.585320972397418E+07,  3.391260533651411E+07,  8.52109326E+01,  1.09846836E+02,  8.01675724E+01,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.611895566639184E+08, -1.575226762156632E+08,  6.039978653150907E+06,  9.49318879E+01,  1.11687477E+02,  8.20947575E+01,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.503043589417629E+08, -2.180021986555305E+08, -2.187963792832984E+07,  1.06013823E+02,  1.12811500E+02,  8.45627469E+01,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.338272014857000E+08, -2.768607617622770E+08, -4.963753743442066E+07,  1.18183899E+02,  1.13112894E+02,  8.74377285E+01,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.119683513139466E+08, -3.336930136876392E+08, -7.703289010084239E+07,  1.31188886E+02,  1.12503792E+02,  9.05802506E+01,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -6.849695227603524E+08, -3.881206581703289E+08, -1.038737375440008E+08,  1.44793058E+02,  1.10920517E+02,  9.38567922E+01,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -6.531002371284567E+08, -4.397934097888221E+08, -1.299777799238940E+08,  1.58773802E+02,  1.08329810E+02,  9.71473531E+01,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -6.166543838628969E+08, -4.883895838536711E+08, -1.551729801460031E+08,  1.72917855E+02,  1.04736054E+02,  1.00349645E+02,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -5.759470018353009E+08, -5.336163729347264E+08, -1.792980073473570E+08,  1.87018982E+02,  1.00190758E+02,  1.03380840E+02,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -5.313112971185235E+08, -5.752098725905597E+08, -2.022025457818310E+08,  2.00877009E+02,  9.48062492E+01,  1.06177773E+02,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -4.830958992319189E+08, -6.129349122769670E+08, -2.237474932127310E+08,  2.14297874E+02,  8.87765341E+01,  1.08696256E+02,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -4.316623675251762E+08, -6.465847457268054E+08, -2.438050717215430E+08,  2.27094354E+02,  8.24090899E+01,  1.10909934E+02,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -3.773829255728036E+08, -6.759806290245943E+08, -2.622588666430197E+08,  2.39087188E+02,  7.61698554E+01,  1.12808891E+02,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -3.206384114929115E+08, -7.009713371010416E+08, -2.790038161494064E+08,  2.50106392E+02,  7.07328507E+01,  1.14398142E+02,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -2.618164302403267E+08, -7.214326474958712E+08, -2.939461661327034E+08,  2.59992642E+02,  6.69914648E+01,  1.15696029E+02,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -2.013096882439363E+08, -7.372668158153391E+08, -3.070034035522116E+08,  2.68598618E+02,  6.59338132E+01,  1.16732502E+02,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -1.395144802507815E+08, -7.484020605771172E+08, -3.181041786694064E+08,  2.75790272E+02,  6.83149745E+01,  1.17547259E+02,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000, -7.682931029018278E+07, -7.547920861036514E+08, -3.271882304281532E+08,  2.81447986E+02,  7.43140021E+01,  1.18187697E+02,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000, -1.365362467169474E+07, -7.564156487341499E+08, -3.342063203697018E+08,  2.85467615E+02,  8.35231132E+01,  1.18706639E+02,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000,  4.961337104107913E+07, -7.532761725655307E+08, -3.391201800891629E+08,  2.87761407E+02,  9.52481234E+01,  1.19159822E+02,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000,  1.125738389766802E+08, -7.454014280727712E+08, -3.419024805604244E+08,  2.88258812E+02,  1.08789964E+02,  1.19603167E+02,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000,  1.748323951173737E+08, -7.328432783683264E+08, -3.425368278405992E+08,  2.86907216E+02,  1.23560218E+02,  1.20089920E+02,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000,  2.359971836177996E+08, -7.156774823444650E+08, -3.410177828715244E+08,  2.83672588E+02,  1.39088557E+02,  1.20667768E+02,
2380176.500000000, A.D. 1804-Aug-08 00:00:00.0000,  2.956809641607779E+08, -6.940035589733102E+08, -3.373509093686453E+08,  2.78540097E+02,  1.54996239E+02,  1.21376140E+02,
2380236.500000000, A.D. 1804-Oct-07 00:00:00.0000,  3.535022369624318E+08, -6.679447104092747E+08, -3.315528516624371E+08,  2.71514738E+02,  1.70968779E+02,  1.22243886E+02,
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000,  4.090864185386128E+08, -6.376477918540480E+08, -3.236514387671638E+08,  2.62622024E+02,  1.86735874E+02,  1.23287549E+02,
2380356.500000000, A.D. 1805-Feb-04 00:00:00.0000,  4.620671008148938E+08, -6.032833103627619E+08, -3.136858089313143E+08,  2.51908837E+02,  2.02058310E+02,  1.24510395E+02,
2380416.500000000, A.D. 1805-Apr-05 00:00:00.0000,  5.120874120666419E+08, -5.650454520200354E+08, -3.017065572480904E+08,  2.39444610E+02,  2.16719895E+02,  1.25902295E+02,
