            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -7.983156957542073E+08, -3.354736871671331E+07,  1.250433121843043E+07,  4.88936761E+01,  5.48895888E+02,  2.27146126E+02,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.956100173345057E+08, -9.420621938648994E+07, -1.188541632881549E+07,  7.96071960E+01,  5.46160780E+02,  2.27544016E+02,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.873975538901712E+08, -1.542162245787181E+08, -3.619423310017528E+07,  1.25189418E+02,  5.39700175E+02,  2.26627562E+02,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.737736890078676E+08, -2.131697760027741E+08, -6.025571532560419E+07,  1.73626118E+02,  5.29573774E+02,  2.24415179E+02,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.548649535277919E+08, -2.706710082495752E+08, -8.390715079159832E+07,  2.22269527E+02,  5.15850676E+02,  2.20932209E+02,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.308276630980871E+08, -3.263371928576353E+08, -1.069901215923014E+08,  2.70171362E+02,  4.98609972E+02,  2.16211578E+02,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.018466003205768E+08, -3.798000255848488E+08, -1.293510629016284E+08,  3.16809106E+02,  4.77941708E+02,  2.10294966E+02,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -6.681337475335894E+08, -4.307068313325065E+08, -1.508417869198994E+08,  3.61803850E+02,  4.53948222E+02,  2.03234600E+02,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -6.299270747625402E+08, -4.787217071561936E+08, -1.713199801365544E+08,  4.04835919E+02,  4.26745921E+02,  1.95095845E+02,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -5.874893615699205E+08, -5.235266212171208E+08, -1.906496821078824E+08,  4.45614010E+02,  3.96467599E+02,  1.85960887E+02,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -5.411070604250140E+08, -5.648224999184690E+08, -2.087017580168457E+08,  4.83862432E+02,  3.63265639E+02,  1.75934027E+02,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -4.910891870248505E+08, -6.023303098384687E+08, -2.253543681225546E+08,  5.19315557E+02,  3.27316813E+02,  1.65149350E+02,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -4.377662209326886E+08, -6.357921521392927E+08, -2.404934420419702E+08,  5.51715629E+02,  2.88830325E+02,  1.53782016E+02,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -3.814889950523751E+08, -6.649723816395136E+08, -2.540131633406934E+08,  5.80812345E+02,  2.48063262E+02,  1.42064957E+02,
