            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -5.829327132296418E+08,  4.112250033299359E+08,  1.757749518405538E+08,  4.15693988E+02,  4.90741483E+02,  1.78197176E+02,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -6.252869035065382E+08,  3.562132264726993E+08,  1.618205883192568E+08,  3.64259439E+02,  5.21210377E+02,  1.85725759E+02,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -6.620991034764541E+08,  2.980527398254200E+08,  1.464357733796397E+08,  3.10563023E+02,  5.46872680E+02,  1.92469398E+02,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -6.931176296673462E+08,  2.372916037425147E+08,  1.297729162294077E+08,  2.55375102E+02,  5.67618714E+02,  1.98294236E+02,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.181523008064331E+08,  1.744884528405262E+08,  1.119926404336450E+08,  1.99738111E+02,  5.83395399E+02,  2.03107947E+02,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.370734553571874E+08,  1.102057266124721E+08,  9.326157801519512E+07,  1.45507910E+02,  5.94197379E+02,  2.06852622E+02,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.498101418503532E+08,  4.500344614575393E+07,  7.375026834942546E+07,  9.75273103E+01,  6.00058638E+02,  2.09498591E+02,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.563476331675259E+08, -2.056638768664754E+07,  5.363119890581309E+07,  7.18316007E+01,  6.01044826E+02,  2.11039174E+02,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -7.567244046840802E+08, -8.596473096008313E+07,  3.307701237258418E+07,  9.03379301E+01,  5.97246497E+02,  2.11486308E+02,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -7.510287278052025E+08, -1.506697686260260E+08,  1.225889099295724E+07,  1.35539431E+02,  5.88773419E+02,  2.10867037E+02,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -7.393950210527157E+08, -2.141805211755899E+08, -8.654868096631542E+06,  1.88348321E+02,  5.75750078E+02,  2.09220862E+02,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -7.220000591219999E+08, -2.760198219650918E+08, -2.950009116061852E+07,  2.42911486E+02,  5.58312377E+02,  2.06597931E+02,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -6.990591446264176E+08, -3.357367112588191E+08, -5.011778600755119E+07,  2.97255785E+02,  5.36605555E+02,  2.03058115E+02,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -6.708223266087331E+08, -3.929083091977494E+08, -7.035503260450779E+07,  3.50455559E+02,  5.10783303E+02,  1.98670991E+02,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -6.375707357195922E+08, -4.471412176863723E+08, -9.006571508781894E+07,  4.01941482E+02,  4.81008130E+02,  1.93516808E+02,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -5.996130641999421E+08, -4.980725177813060E+08, -1.091111163459059E+08,  4.51291993E+02,  4.47453084E+02,  1.87688507E+02,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -5.572822419515687E+08, -5.453704318244671E+08, -1.273603908574664E+08,  4.98156612E+02,  4.10305266E+02,  1.81294921E+02,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -5.109323234881647E+08, -5.887347051436715E+08, -1.446909323653586E+08,  5.42223117E+02,  3.69772173E+02,  1.74465256E+02,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -4.609355942340982E+08, -6.278967597146550E+08, -1.609886524929647E+08,  5.83201812E+02,  3.26093451E+02,  1.67354947E+02,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -4.076798909450182E+08, -6.626196768080227E+08, -1.761481889292094E+08,  6.20817475E+02,  2.79564745E+02,  1.60152734E+02,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000, -3.515661419491265E+08, -6.926980578959956E+08, -1.900730567928783E+08,  6.54805149E+02,  2.30593185E+02,  1.53088436E+02,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000, -2.930061066400669E+08, -7.179577932729785E+08, -2.026757558313542E+08,  6.84908109E+02,  1.79850858E+02,  1.46439893E+02,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000, -2.324202943192553E+08, -7.382557770494335E+08, -2.138778466785949E+08,  7.10877189E+02,  1.28808019E+02,  1.40536021E+02,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000, -1.702360467144581E+08, -7.534796058245196E+08, -2.236100081823955E+08,  7.32471057E+02,  8.22222630E+01,  1.35750800E+02,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000, -1.068857651707339E+08, -7.635472750982339E+08, -2.318120827117127E+08,  7.49457181E+02,  6.01607427E+01,  1.32481675E+02,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000, -4.280524810574310E+07, -7.684068911367096E+08, -2.384331181179547E+08,  7.61613346E+02,  8.84615188E+01,  1.31107934E+02,
2380176.500000000, A.D. 1804-Aug-08 00:00:00.0000,  2.156788284322163E+07, -7.680364195563302E+08, -2.434314135626529E+08,  7.68729656E+02,  1.41083574E+02,  1.31933248E+02,
2380236.500000000, A.D. 1804-Oct-07 00:00:00.0000,  8.579569237141670E+07, -7.624434832561637E+08, -2.467745753674565E+08,  7.70610967E+02,  2.00567501E+02,  1.35129586E+02,
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000,  1.494414017470096E+08, -7.516652010355966E+08, -2.484395835418966E+08,  7.67079700E+02,  2.62652816E+02,  1.40706448E+02,
2380356.500000000, A.D. 1805-Feb-04 00:00:00.0000,  2.120708576808339E+08, -7.357680796560110E+08, -2.484128742863877E+08,  7.57979046E+02,  3.25846345E+02,  1.48519241E+02,
2380416.500000000, A.D. 1805-Apr-05 00:00:00.0000,  2.732540149466847E+08, -7.148479592743666E+08, -2.466904402752512E+08,  7.43176577E+02,  3.89321091E+02,  1.58309330E+02,
2380476.500000000, A.D. 1805-Jun-04 00:00:00.0000,  3.325664641281526E+08, -6.890299989863060E+08, -2.432779474266592E+08,  7.22568271E+02,  4.52452531E+02,  1.69754471E+02,
2380536.500000000, A.D. 1805-Aug-03 00:00:00.0000,  3.895910290779558E+08, -6.584686913274919E+08, -2.381908663807693E+08,  6.96083000E+02,  5.14683418E+02,  1.82510998E+02,
2380596.500000000, A.D. 1805-Oct-02 00:00:00.0000,  4.439194670855575E+08, -6.233479002858182E+08, -2.314546187157260E+08,  6.63687616E+02,  5.75475919E+02,  1.96240377E+02,
2380656.500000000, A.D. 1805-Dec-01 00:00:00.0000,  4.951542818080131E+08, -5.838809010580221E+08, -2.231047335892543E+08,  6.25392822E+02,  6.34292695E+02,  2.10621653E+02,
2380716.500000000, A.D. 1806-Jan-30 00:00:00.0000,  5.429106807372279E+08, -5.403103898238485E+08, -2.131870060326488E+08,  5.81260215E+02,  6.90589523E+02,  2.25354657E+02,
2380776.500000000, A.D. 1806-Mar-31 00:00:00.0000,  5.868186976946478E+08, -4.929084473228781E+08, -2.017576534799278E+08,  5.31411407E+02,  7.43813297E+02,  2.40158503E+02,
2380836.500000000, A.D. 1806-May-30 00:00:00.0000,  6.265254951718459E+08, -4.419764224722887E+08, -1.888834617731267E+08,  4.76041210E+02,  7.93403016E+02,  2.54768350E+02,
2380896.500000000, A.D. 1806-Jul-29 00:00:00.0000,  6.616978522771677E+08, -3.878446918237616E+08, -1.746419072655713E+08,  4.15439795E+02,  8.38792737E+02,  2.68932096E+02,
2380956.500000000, A.D. 1806-Sep-27 00:00:00.0000,  6.920248586549420E+08, -3.308722539829358E+08, -1.591212424207643E+08,  3.50037476E+02,  8.79416090E+02,  2.82407759E+02,
2381016.500000000, A.D. 1806-Nov-26 00:00:00.0000,  7.172208117727942E+08, -2.714461190248076E+08, -1.424205336916699E+08,  2.80516037E+02,  9.14712141E+02,  2.94961857E+02,
2381076.500000000, A.D. 1807-Jan-25 00:00:00.0000,  7.370283041644417E+08, -2.099804360148275E+08, -1.246496325508861E+08,  2.08160429E+02,  9.44132493E+02,  3.06368796E+02,
2381136.500000000, A.D. 1807-Mar-26 00:00:00.0000,  7.512214867966816E+08, -1.469152984045403E+08, -1.059290585603105E+08,  1.36380216E+02,  9.67149588E+02,  3.16411280E+02,
2381196.500000000, A.D. 1807-May-25 00:00:00.0000,  7.596094926089339E+08, -8.271517812825464E+07, -8.638977862428010E+07,  8.02789022E+01,  9.83266177E+02,  3.24881641E+02,
2381256.500000000, A.D. 1807-Jul-24 00:00:00.0000,  7.620399623482385E+08, -1.786692900927037E+07, -6.617285971091639E+07,  9.22660839E+01,  9.92025832E+02,  3.31584016E+02,
2381316.500000000, A.D. 1807-Sep-22 00:00:00.0000,  7.584026239343873E+08,  4.712270234586980E+07, -4.542897039508111E+07,  1.61386441E+02,  9.93024373E+02,  3.36337308E+02,
2381376.500000000, A.D. 1807-Nov-21 00:00:00.0000,  7.486328545434183E+08,  1.117301091558806E+08, -2.431771013642301E+07,  2.44496149E+02,  9.85922023E+02,  3.38978846E+02,
2381436.500000000, A.D. 1808-Jan-20 00:00:00.0000,  7.327151444376067E+08,  1.754184399187091E+08, -3.006748475353089E+06,  3.31442279E+02,  9.70456048E+02,  3.39368702E+02,
2381496.500000000, A.D. 1808-Mar-20 00:00:00.0000,  7.106863330923564E+08,  2.376418285011006E+08,  1.832924773765018E+07,  4.19226976E+02,  9.46453447E+02,  3.37394543E+02,
2381556.500000000, A.D. 1808-May-19 00:00:00.0000,  6.826385194624047E+08,  2.978502642116860E+08,  3.950991452147945E+07,  5.06201828E+02,  9.13843353E+02,  3.32977020E+02,
2381616.500000000, A.D. 1808-Jul-18 00:00:00.0000,  6.487215040608174E+08,  3.554950821934552E+08,  6.035072219740869E+07,  5.91075301E+02,  8.72668633E+02,  3.26075619E+02,
2381676.500000000, A.D. 1808-Sep-16 00:00:00.0000,  6.091446148321714E+08,  4.100350447999590E+08,  8.066474192352858E+07,  6.72676872E+02,  8.23096183E+02,  3.16694989E+02,
2381736.500000000, A.D. 1808-Nov-15 00:00:00.0000,  5.641777607009243E+08,  4.609429483974385E+08,  1.002646397189886E+08,  7.49893250E+02,  7.65425452E+02,  3.04891872E+02,
2381796.500000000, A.D. 1809-Jan-14 00:00:00.0000,  5.141515842227775E+08,  5.077126690345102E+08,  1.189648793985562E+08,  8.21656897E+02,  7.00094983E+02,  2.90782950E+02,
2381856.500000000, A.D. 1809-Mar-15 00:00:00.0000,  4.594565704617385E+08,  5.498664944692084E+08,  1.365840985370300E+08,  8.86954053E+02,  6.27687278E+02,  2.74554270E+02,
2381916.500000000, A.D. 1809-May-14 00:00:00.0000,  4.005409920597796E+08,  5.869625854171604E+08,  1.529476189479247E+08,  9.44841108E+02,  5.48933475E+02,  2.56473443E+02,
2381976.500000000, A.D. 1809-Jul-13 00:00:00.0000,  3.379076202589021E+08,  6.186023698406019E+08,  1.678900338552775E+08,  9.94464449E+02,  4.64723000E+02,  2.36906821E+02,
2382036.500000000, A.D. 1809-Sep-11 00:00:00.0000,  2.721091677920991E+08,  6.444376464526815E+08,  1.812578043627376E+08,  1.03508106E+03,  3.76134424E+02,  2.16345209E+02,
2382096.500000000, A.D. 1809-Nov-10 00:00:00.0000,  2.037424658281280E+08,  6.641771481330378E+08,  1.929117879997545E+08,  1.06607798E+03,  2.84547268E+02,  1.95443264E+02,
2382156.500000000, A.D. 1810-Jan-09 00:00:00.0000,  1.334414468527710E+08,  6.775923410364858E+08,  2.027296217339328E+08,  1.08698916E+03,  1.92124893E+02,  1.75077709E+02,
2382216.500000000, A.D. 1810-Mar-10 00:00:00.0000,  6.186906641872301E+07,  6.845222288971902E+08,  2.106078761773479E+08,  1.09750853E+03,  1.04912697E+02,  1.56420684E+02,
2382276.500000000, A.D. 1810-May-09 00:00:00.0000, -1.029164949636434E+07,  6.848769537180530E+08,  2.164639018930991E+08,  1.09749834E+03,  6.38068191E+01,  1.40987077E+02,
2382336.500000000, A.D. 1810-Jul-08 00:00:00.0000, -8.234721123517263E+07,  6.786400286372176E+08,  2.202372978928981E+08,  1.08699198E+03,  1.26534545E+02,  1.30524153E+02,
2382396.500000000, A.D. 1810-Sep-06 00:00:00.0000, -1.536036426107215E+08,  6.658691182806867E+08,  2.218909513245709E+08,  1.06619140E+03,  2.14090885E+02,  1.26542202E+02,
2382456.500000000, A.D. 1810-Nov-05 00:00:00.0000, -2.233765294600056E+08,  6.466952964105889E+08,  2.214116051397452E+08,  1.03545888E+03,  3.02872852E+02,  1.29560237E+02,
2382516.500000000, A.D. 1811-Jan-04 00:00:00.0000, -2.910008431227388E+08,  6.213208071890712E+08,  2.188099371783744E+08,  9.95303832E+02,  3.88838647E+02,  1.38744763E+02,
2382576.500000000, A.D. 1811-Mar-05 00:00:00.0000, -3.558402497708793E+08,  5.900154110615374E+08,  2.141201524844053E+08,  9.46365441E+02,  4.70303476E+02,  1.52397646E+02,
2382636.500000000, A.D. 1811-May-04 00:00:00.0000, -4.172956406740983E+08,  5.531114760779455E+08,  2.073991183736330E+08,  8.89392328E+02,  5.46180474E+02,  1.68724653E+02,
2382696.500000000, A.D. 1811-Jul-03 00:00:00.0000, -4.748126506986371E+08,  5.109979756047436E+08,  1.987250764325962E+08,  8.25220510E+02,  6.15657974E+02,  1.86254478E+02,
2382756.500000000, A.D. 1811-Sep-01 00:00:00.0000, -5.278880200897784E+08,  4.641136371285461E+08,  1.881959935535856E+08,  7.54751234E+02,  6.78112571E+02,  2.03904760E+02,
2382816.500000000, A.D. 1811-Oct-31 00:00:00.0000, -5.760746776867212E+08,  4.129394877206780E+08,  1.759276217846447E+08,  6.78930559E+02,  7.33077371E+02,  2.20910204E+02,
2382876.500000000, A.D. 1811-Dec-30 00:00:00.0000, -6.189855000894150E+08,  3.579910451133026E+08,  1.620513414134843E+08,  5.98733070E+02,  7.80225121E+02,  2.36736236E+02,
2382936.500000000, A.D. 1812-Feb-28 00:00:00.0000, -6.562957500759841E+08,  2.998103864878161E+08,  1.467118602233117E+08,  5.15153806E+02,  8.19354962E+02,  2.51012636E+02,
2382996.500000000, A.D. 1812-Apr-28 00:00:00.0000, -6.877442718787329E+08,  2.389583268152238E+08,  1.300648472299264E+08,  4.29217540E+02,  8.50379514E+02,  2.63488107E+02,
2383056.500000000, A.D. 1812-Jun-27 00:00:00.0000, -7.131335265469266E+08,  1.760068980391544E+08,  1.122745699229845E+08,  3.42031546E+02,  8.73311439E+02,  2.73999730E+02,
2383116.500000000, A.D. 1812-Aug-26 00:00:00.0000, -7.323285982786540E+08,  1.115322748181101E+08,  9.351158920907311E+07,  2.54976051E+02,  8.88249586E+02,  2.82451979E+02,
2383176.500000000, A.D. 1812-Oct-25 00:00:00.0000, -7.452553300777546E+08,  4.610826595796021E+07,  7.395056247594696E+07,  1.70485413E+02,  8.95365170E+02,  2.88801729E+02,
2383236.500000000, A.D. 1812-Dec-24 00:00:00.0000, -7.518977499187837E+08, -1.969954103937283E+07,  5.376819633238252E+07,  9.66325953E+01,  8.94888474E+02,  2.93047111E+02,
