            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -7.580169082854782E+08,  3.484548747693968E+07, -7.467939661268860E+07,  4.52922063E+04,  1.07561314E+06,  3.76351725E+05,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.575085172962825E+08, -3.024864715968405E+07, -9.726491558863100E+07,  1.49797454E+05,  1.08283009E+06,  3.66921567E+05,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.509618814997407E+08, -9.510519434546670E+07, -1.190771855273940E+08,  2.54530939E+05,  1.08137521E+06,  3.54391539E+05,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.384739645233957E+08, -1.592132282001431E+08, -1.399496195615588E+08,  3.58677873E+05,  1.07120151E+06,  3.38839200E+05,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.201889570958983E+08, -2.220757614573280E+08, -1.597258753971910E+08,  4.61421434E+05,  1.05233272E+06,  3.20367485E+05,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -6.962955818500768E+08, -2.832137115445029E+08, -1.782609257790450E+08,  5.61949458E+05,  1.02486407E+06,  2.99104104E+05,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -6.670240853648190E+08, -3.421694602233611E+08, -1.954219523969615E+08,  6.59461889E+05,  9.88962258E+05,  2.75200635E+05,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -6.326429924053074E+08, -3.985099931092119E+08, -2.110890669064097E+08,  7.53178244E+05,  9.44864566E+05,  2.48831338E+05,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -5.934556974013077E+08, -4.518296138743374E+08, -2.251558652349461E+08,  8.42344886E+05,  8.92877193E+05,  2.20191719E+05,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -5.497969365696577E+08, -5.017522369745138E+08, -2.375298210131487E+08,  9.26241999E+05,  8.33372785E+05,  1.89496838E+05,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -5.020292149277555E+08, -5.479332879643105E+08, -2.481325386995240E+08,  1.00419023E+06,  7.66787236E+05,  1.56979427E+05,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -4.505392341254537E+08, -5.900612208888215E+08, -2.568998727876347E+08,  1.07555682E+06,  6.93615857E+05,  1.22887867E+05,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -3.957343593814912E+08, -6.278586818767632E+08, -2.637819283879965E+08,  1.13976116E+06,  6.14408946E+05,  8.74841419E+04,
