            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000,  5.584657019593083E+08,  4.259083628328059E+08,  1.574027097026421E+08,  3.69946440E+02,  6.19727516E+02,  3.26521321E+02,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000,  5.131702357829576E+08,  4.760352109306387E+08,  1.832753428979132E+08,  4.10441293E+02,  5.75326287E+02,  3.11808881E+02,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000,  4.630474929740498E+08,  5.216845166059290E+08,  2.074242398868775E+08,  4.44714318E+02,  5.29144302E+02,  2.96448384E+02,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000,  4.086434697287644E+08,  5.625111529933546E+08,  2.296557420777076E+08,  4.72514032E+02,  4.82179104E+02,  2.80925066E+02,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000,  3.505302847846072E+08,  5.982332161512120E+08,  2.498033112978372E+08,  4.93828846E+02,  4.35406006E+02,  2.65705896E+02,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000,  2.892966917333986E+08,  6.286316343414483E+08,  2.677279805003515E+08,  5.08826403E+02,  3.89769964E+02,  2.51220454E+02,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000,  2.255392882994444E+08,  6.535485629776996E+08,  2.833182038550513E+08,  5.17811498E+02,  3.46184840E+02,  2.37840588E+02,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000,  1.598546060403513E+08,  6.728848063062953E+08,  2.964892043096012E+08,  5.21192991E+02,  3.05538857E+02,  2.25859700E+02,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000,  9.283217387047555E+07,  6.865964789834154E+08,  3.071819103905933E+08,  5.19455931E+02,  2.68701558E+02,  2.15473932E+02,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000,  2.504858932806228E+07,  6.946911366406063E+08,  3.153615834229985E+08,  5.13137473E+02,  2.36520099E+02,  2.06768948E+02,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -4.293740811700469E+07,  6.972235836764306E+08,  3.210162310067279E+08,  5.02806052E+02,  2.09780834E+02,  1.99716592E+02,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -1.105889023256806E+08,  6.942915281847223E+08,  3.241548873184744E+08,  4.89043612E+02,  1.89103215E+02,  1.94184389E+02,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -1.773938883721778E+08,  6.860312208756497E+08,  3.248058277720503E+08,  4.72430733E+02,  1.74754392E+02,  1.89957519E+02,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -2.428675736657093E+08,  6.726132031156418E+08,  3.230147810374767E+08,  4.53534558E+02,  1.66454225E+02,  1.86769206E+02,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -3.065539924283301E+08,  6.542382501836351E+08,  3.188431849800467E+08,  4.32899357E+02,  1.63327086E+02,  1.84333206E+02,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -3.680270304963728E+08,  6.311335619256940E+08,  3.123665162744974E+08,  4.11039576E+02,  1.64094844E+02,  1.82372441E+02,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -4.268909751659986E+08,  6.035492420660374E+08,  3.036727198655843E+08,  3.88435178E+02,  1.67402522E+02,  1.80640164E+02,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -4.827806752444306E+08,  5.717550967521179E+08,  2.928607585874292E+08,  3.65529170E+02,  1.72079999E+02,  1.78932771E+02,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -5.353613981199349E+08,  5.360377464203573E+08,  2.800392856200482E+08,  3.42727137E+02,  1.77252398E+02,  1.77095353E+02,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -5.843284613538607E+08,  4.966980492406418E+08,  2.653254439020039E+08,  3.20398703E+02,  1.82334733E+02,  1.75021942E+02,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -6.294067137928230E+08,  4.540488236953804E+08,  2.488437921990232E+08,  2.98880732E+02,  1.86976100E+02,  1.72652409E+02,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -6.703499134803568E+08,  4.084128566141012E+08,  2.307253548586093E+08,  2.78482053E+02,  1.90995569E+02,  1.69967572E+02,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000, -7.069400521367875E+08,  3.601211588630048E+08,  2.111067805699039E+08,  2.59489201E+02,  1.94326655E+02,  1.66983511E+02,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000, -7.389866744007999E+08,  3.095114540769835E+08,  1.901296073425938E+08,  2.42172267E+02,  1.96973840E+02,  1.63745694E+02,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000, -7.663262207674599E+08,  2.569268704229348E+08,  1.679396218898233E+08,  2.26789328E+02,  1.98979843E+02,  1.60323156E+02,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000, -7.888214160129596E+08,  2.027148071985818E+08,  1.446863016402549E+08,  2.13587173E+02,  2.00401412E+02,  1.56802753E+02,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000, -8.063607305018281E+08,  1.472259434381426E+08,  1.205223263883592E+08,  2.02795619E+02,  2.01291836E+02,  1.53283413E+02,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000, -8.188579334049543E+08,  9.081336932786013E+07,  9.560315246114974E+07,  1.94613304E+02,  2.01688905E+02,  1.49870282E+02,
2380176.500000000, A.D. 1804-Aug-08 00:00:00.0000, -8.262517402723768E+08,  3.383180917717953E+07,  7.008663462819761E+07,  1.89185384E+02,  2.01607507E+02,  1.46668666E+02,
2380236.500000000, A.D. 1804-Oct-07 00:00:00.0000, -8.285055669326909E+08, -2.336309366130327E+07,  4.413268320760670E+07,  1.86577873E+02,  2.01036234E+02,  1.43777838E+02,
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000, -8.256074034566853E+08, -8.041545382835433E+07,  1.790294672706433E+07,  1.86757354E+02,  1.99937468E+02,  1.41284940E+02,
2380356.500000000, A.D. 1805-Feb-04 00:00:00.0000, -8.175698017729337E+08, -1.369698047258613E+08, -8.439490748538217E+06,  1.89584879E+02,  1.98250320E+02,  1.39259414E+02,
