            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -5.633126324389231E+08,  4.602799677807961E+08,  2.640625985871499E+08,  1.46046442E+02,  1.23624764E+02,  1.13221453E+02,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -6.090423317257199E+08,  4.142230982703512E+08,  2.422258087035639E+08,  1.35918800E+02,  1.30658709E+02,  1.14600734E+02,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -6.501222398256264E+08,  3.650113885553738E+08,  2.185428841539512E+08,  1.25296853E+02,  1.36816956E+02,  1.15428099E+02,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -6.862699261593221E+08,  3.130374890597451E+08,  1.932048588211936E+08,  1.14411810E+02,  1.42031684E+02,  1.15690457E+02,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.172457730301428E+08,  2.587109645655296E+08,  1.664134733668675E+08,  1.03532296E+02,  1.46260301E+02,  1.15387926E+02,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.428539544905249E+08,  2.024542968783409E+08,  1.383791430784396E+08,  9.29776034E+01,  1.49482513E+02,  1.14533699E+02,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.629429093577294E+08,  1.446989542975546E+08,  1.093189380036186E+08,  8.31358941E+01,  1.51697710E+02,  1.13153791E+02,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.774053366738569E+08,  8.588157025626597E+07,  7.945459865648597E+07,  7.44816241E+01,  1.52922517E+02,  1.11286696E+02,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.861777670945861E+08,  2.644027791018532E+07,  4.901061428010032E+07,  6.75716964E+01,  1.53188453E+02,  1.08982981E+02,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.892397557909505E+08, -3.318876288932760E+07,  1.821238449429614E+07,  6.29773186E+01,  1.52539683E+02,  1.06304844E+02,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -7.866127354731458E+08, -9.257461683152331E+07, -1.271551982827756E+07,  6.11146062E+01,  1.51030915E+02,  1.03325623E+02,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -7.783585815955060E+08, -1.512945952770637E+08, -4.355098900562823E+07,  6.20384627E+01,  1.48725477E+02,  1.00129226E+02,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -7.645779478548945E+08, -2.089370279524332E+08, -7.407588746158853E+07,  6.53849628E+01,  1.45693640E+02,  9.68093909E+01,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -7.454084025260077E+08, -2.651037827458485E+08, -1.040774451006065E+08,  7.05370169E+01,  1.42011253E+02,  9.34685870E+01,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -7.210224119573165E+08, -3.194125358033732E+08, -1.333495260084372E+08,  7.68521044E+01,  1.37758717E+02,  9.02162891E+01,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -6.916252118084593E+08, -3.714988039061232E+08, -1.616937783138977E+08,  8.37936709E+01,  1.33020368E+02,  8.71662486E+01,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -6.574526057457315E+08, -4.210177395768877E+08, -1.889206648923968E+08,  9.09588727E+01,  1.27884287E+02,  8.44323626E+01,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -6.187687026341177E+08, -4.676457053668092E+08, -2.148503820447850E+08,  9.80582721E+01,  1.22442556E+02,  8.21228592E+01,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -5.758636332913178E+08, -5.110816476891304E+08, -2.393136748477659E+08,  1.04886128E+02,  1.16791963E+02,  8.03329004E+01,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -5.290512619834768E+08, -5.510482820683373E+08, -2.621525550944963E+08,  1.11295399E+02,  1.11035091E+02,  7.91363560E+01,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -4.786669070862485E+08, -5.872931034833033E+08, -2.832209282445292E+08,  1.17179762E+02,  1.05281702E+02,  7.85782283E+01,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -4.250650771453337E+08, -6.195892441572380E+08, -3.023851400722734E+08,  1.22461393E+02,  9.96501352E+01,  7.86696169E+01,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000, -3.686172420844545E+08, -6.477361974529601E+08, -3.195244525117648E+08,  1.27082840E+02,  9.42682936E+01,  7.93867641E+01,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000, -3.097096359353338E+08, -6.715604143106663E+08, -3.345314521488155E+08,  1.31001649E+02,  8.92734393E+01,  8.06745905E+01,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000, -2.487410899459863E+08, -6.909157903455188E+08, -3.473124000996557E+08,  1.34186838E+02,  8.48096666E+01,  8.24537467E+01,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000, -1.861208996025881E+08, -7.056840628183815E+08, -3.577875338403478E+08,  1.36616611E+02,  8.10216933E+01,  8.46293137E+01,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000, -1.222667254270964E+08, -7.157751195759126E+08, -3.658913220558783E+08,  1.38276919E+02,  7.80439165E+01,  8.70992446E+01,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000, -5.760251287148987E+07, -7.211272283357491E+08, -3.715726769457242E+08,  1.39160607E+02,  7.59850380E+01,  8.97612606E+01,
2380176.500000000, A.D. 1804-Aug-08 00:00:00.0000,  7.443571055673009E+06, -7.217071989846313E+08, -3.747951309302335E+08,  1.39266969E+02,  7.49110619E+01,  9.25177168E+01,
2380236.500000000, A.D. 1804-Oct-07 00:00:00.0000,  7.244118997271739E+07, -7.175104854608182E+08, -3.755369820882444E+08,  1.38601589E+02,  7.48319432E+01,  9.52785629E+01,
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000,  1.369598862617103E+08, -7.085612173851117E+08, -3.737914024435717E+08,  1.37176393E+02,  7.56973877E+01,  9.79628212E+01,
2380356.500000000, A.D. 1805-Feb-04 00:00:00.0000,  2.005711438647852E+08, -6.949121715375749E+08, -3.695665156344356E+08,  1.35009853E+02,  7.74040284E+01,  1.00499066E+02,
2380416.500000000, A.D. 1805-Apr-05 00:00:00.0000,  2.628504629109058E+08, -6.766446823040916E+08, -3.628854438120583E+08,  1.32127325E+02,  7.98112418E+01,  1.02825316E+02,
2380476.500000000, A.D. 1805-Jun-04 00:00:00.0000,  3.233794592183133E+08, -6.538684808096719E+08, -3.537863186055865E+08,  1.28561529E+02,  8.27598025E+01,  1.04888629E+02,
2380536.500000000, A.D. 1805-Aug-03 00:00:00.0000,  3.817479947140643E+08, -6.267214553613130E+08, -3.423222522709033E+08,  1.24353191E+02,  8.60880864E+01,  1.06644606E+02,
2380596.500000000, A.D. 1805-Oct-02 00:00:00.0000,  4.375563521494973E+08, -5.953693320458255E+08, -3.285612699306578E+08,  1.19551933E+02,  8.96432257E+01,  1.08056897E+02,
2380656.500000000, A.D. 1805-Dec-01 00:00:00.0000,  4.904174453352933E+08, -5.600052617741355E+08, -3.125861947959431E+08,  1.14217520E+02,  9.32871739E+01,  1.09096782E+02,
2380716.500000000, A.D. 1806-Jan-30 00:00:00.0000,  5.399590771626474E+08, -5.208492937663581E+08, -2.944944762458305E+08,  1.08421634E+02,  9.68989498E+01,  1.09742842E+02,
2380776.500000000, A.D. 1806-Mar-31 00:00:00.0000,  5.858262454398185E+08, -4.781477309066131E+08, -2.743979591336765E+08,  1.02250447E+02,  1.00374538E+02,  1.09980722E+02,
2380836.500000000, A.D. 1806-May-30 00:00:00.0000,  6.276834918849578E+08, -4.321723501679611E+08, -2.524225852066790E+08,  9.58083289E+01,  1.03625595E+02,  1.09802992E+02,
