            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -6.071040078467363E+08,  3.547809996370612E+08,  1.642594951332619E+08,  7.96551407E+06,  1.28619992E+07,  3.19334379E+06,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -6.445212191462008E+08,  2.949838009234781E+08,  1.495734959900606E+08,  6.82210114E+06,  1.35060791E+07,  3.49338235E+06,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -6.759108696961243E+08,  2.324293268457130E+08,  1.334894600833679E+08,  5.61219251E+06,  1.40264671E+07,  3.76203574E+06,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.010494670851992E+08,  1.677259712308488E+08,  1.161713922491798E+08,  4.35317354E+06,  1.44176160E+07,  3.99607031E+06,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.197846224095224E+08,  1.014906426152488E+08,  9.779250383027275E+07,  3.06417053E+06,  1.46764237E+07,  4.19297180E+06,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.320338336488676E+08,  3.434022330999301E+07,  7.853250451682037E+07,  1.77072049E+06,  1.48021584E+07,  4.35095972E+06,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.377820670777442E+08, -3.311630308404402E+07,  5.857498599967071E+07,  5.80327045E+05,  1.47963105E+07,  4.46897705E+06,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.370783220387663E+08, -1.002849152421401E+08,  3.810495626436356E+07,  9.85305054E+05,  1.46623851E+07,  4.54665741E+06,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.300314083279580E+08, -1.665927150574620E+08,  1.730657402655367E+07,  2.20438174E+06,  1.44056520E+07,  4.58427402E+06,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.168051514503282E+08, -2.314931396834888E+08, -3.638881269891094E+06,  3.41903666E+06,  1.40328693E+07,  4.58267475E+06,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -6.976132250208311E+08, -2.944702142971168E+08, -2.455478216981387E+07,  4.58727222E+06,  1.35519963E+07,  4.54320775E+06,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -6.727137824184195E+08, -3.550418901182209E+08, -4.527066829594484E+07,  5.69409757E+06,  1.29719071E+07,  4.46764190E+06,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -6.424040709011196E+08, -4.127625284052170E+08, -6.562350234954794E+07,  6.72947145E+06,  1.23021184E+07,  4.35808629E+06,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -6.070151422389443E+08, -4.672246033085268E+08, -8.545867977912089E+07,  7.68576931E+06,  1.15525378E+07,  4.21691155E+06,
