            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -6.233501940995789E+08,  3.941565849385592E+08,  1.613610476074299E+08,  5.62502406E+01,  5.98707738E+01,  7.19780815E+01,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -6.579313003307831E+08,  3.414565883743041E+08,  1.317519363705935E+08,  5.06393603E+01,  6.25052256E+01,  7.03835218E+01,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -6.870279255621593E+08,  2.859187538824807E+08,  1.010482788615725E+08,  4.57727387E+01,  6.50801477E+01,  6.86627348E+01,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.103552306209245E+08,  2.279875764411741E+08,  6.949942562769261E+07,  4.20935857E+01,  6.75644206E+01,  6.68702375E+01,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.276777151450554E+08,  1.681359859830285E+08,  3.736606650633409E+07,  4.01266364E+01,  6.99189020E+01,  6.50636329E+01,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.388130652034672E+08,  1.068608260340932E+08,  4.917628481544091E+06,  4.03284724E+01,  7.20930722E+01,  6.33008701E+01,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.436353737439224E+08,  4.467779243116862E+07, -2.757056233552475E+07,  4.28712483E+01,  7.40240165E+01,  6.16373773E+01,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.420776301451280E+08, -1.788408721145767E+07, -5.982030620551047E+07,  4.75686755E+01,  7.56375988E+01,  6.01233624E+01,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -7.341333793805889E+08, -8.028833151407805E+07, -9.155368342456102E+07,  5.40234929E+01,  7.68515031E+01,  5.88016564E+01,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -7.198574874795104E+08, -1.419971393903831E+08, -1.224962779095554E+08,  6.18150668E+01,  7.75797353E+01,  5.77064881E+01,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -6.993659856163709E+08, -2.024776390045875E+08, -1.523803981755590E+08,  7.05881013E+01,  7.77381915E+01,  5.68634837E+01,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -6.728349604118544E+08, -2.612081205557685E+08, -1.809482242893501E+08,  8.00599950E+01,  7.72510076E+01,  5.62909620E+01,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -6.404985115387797E+08, -3.176841163755432E+08, -2.079548118822079E+08,  9.00003094E+01,  7.60576163E+01,  5.60022964E+01,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -6.026458220118775E+08, -3.714242023462686E+08, -2.331708912192380E+08,  1.00209686E+02,  7.41207468E+01,  5.60088228E+01,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -5.596174250130706E+08, -4.219753869117666E+08, -2.563853992342321E+08,  1.10505262E+02,  7.14360524E+01,  5.63225877E+01,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -5.118007375238738E+08, -4.689179800816842E+08, -2.774076914514912E+08,  1.20712326E+02,  6.80447260E+01,  5.69582120E+01,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -4.596249957435813E+08, -5.118698622922552E+08, -2.960694033173034E+08,  1.30660463E+02,  6.40514873E+01,  5.79333382E+01,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -4.035557165083920E+08, -5.504900791671246E+08, -3.122259308927069E+08,  1.40182603E+02,  5.96515519E+01,  5.92674502E+01,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -3.440888214481418E+08, -5.844817150706886E+08, -3.257575154785988E+08,  1.49115824E+02,  5.51703989E+01,  6.09792498E+01,
